### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       27924720     33618675     33666445     27367064     29937064     34451764     
2       28459268     23059798     22964799     41796118     43759602     30283108     
4       51163636     46907127     47217264     48821253     45803352     54303707     
6       62119803     60034840     54987628     63646876     64194223     65272722     
8       78600348     75236514     67649822     83647589     80684534     77271780     
10      79835506     76910662     90296776     99168154     83595876     77375288     
12      84360206     84419106     91371188     116291674    89361868     85967700     
14      83947584     60280536     103108894    110234191    105966090    88074894     
16      65649078     46464986     110482670    120775268    116162112    95284907     
18      51109646     35985967     120162698    131929456    114002865    95911051     
20      45826106     34325425     126612088    139528538    121166364    101010953    
22      42490327     30177322     134083156    145631802    127672280    100968850    
24      39231554     26917154     138954231    152293330    135585560    105068300    
26      39581295     26960011     144882336    158722340    142780620    109464077    
28      37537820     24028026     150302384    164841067    148610066    113427193    
30      35711377     23533706     154294956    170806133    156954122    117420106    
32      36091730     23147772     160576998    175927964    163046338    120219229    
34      35054210     23879624     164010679    181060993    169075402    121987811    
36      34759545     21333456     169954758    188103208    175408028    125545734    
38      36060035     22122762     173409127    193084476    186137884    128132151    
40      33914817     20270477     175612407    196379324    190004154    131970260    
44      26785636     17937072     107094233    130169912    144448594    91381848     
48      24118210     14471216     97450760     94485969     117304020    81303720     
52      21638701     13552853     87645091     103762498    98451308     75187695     
56      21161589     11646800     77038328     81627950     79491082     64247884     
60      19722363     10820506     65159384     64827300     86458642     57916691     
