### params -i8192 -r16384 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_lazy_2 lpd48corelb-ll_gl_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_optik_cache_2 lpd48corelb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       17872        21548        14490        21635        19746        36061        34992        
2       40225        42696        23334        40423        39194        70687        77344        
4       79728        83204        30271        67131        77004        137947       150675       
6       118152       123041       28111        80131        113822       203044       221818       
8       156505       162392       26856        85495        150316       265456       291369       
10      194579       200544       26627        88193        185926       326312       358999       
12      230441       237709       25991        90174        221522       386323       424076       
14      266629       273930       25569        91613        254547       442575       486846       
16      299390       307797       25594        93033        287935       498530       545260       
18      330533       341808       25057        93848        318756       547912       605100       
20      364861       373091       24779        94460        348919       600705       661834       
22      394062       403642       25017        95873        378417       653165       710707       
24      424045       435036       24519        96168        405505       699376       767426       
26      449766       463776       24579        95517        435609       743357       817888       
28      475384       487269       23926        96689        460417       785680       867878       
30      502612       521755       23834        97098        485113       829073       903944       
32      523770       544275       23602        95836        509638       867676       956174       
34      545850       563019       23407        95579        534651       906632       991996       
36      566478       585272       23060        96907        529902       934938       1027745      
38      579747       603078       22984        95201        568032       960042       1048319      
40      594591       619535       22456        93900        578262       974530       1073809      
42      612456       635616       22422        93362        597056       998464       1097754      
44      601826       637397       22055        92459        594689       1004456      1125919      
46      606483       635387       21905        91204        598943       1016456      1115808      
48      608864       638754       21329        88921        599560       1016585      1127935      
52      568345       600693       3582         86195        570618       964143       1052411      
56      527757       570511       2214         83637        534851       886772       980454       
60      508770       544183       1707         79914        506550       842992       933297       
64      480737       513420       1455         79314        486536       806285       893285       
