### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2878904      3006139      3033217      3088223      3078729      
2       4787684      4889404      5812492      5135941      5943884      
4       9313908      9949290      9997274      9951745      10262908     
6       13940176     14786582     14632328     14524676     14705031     
8       18212932     19048366     18412182     19529572     18874180     
10      21330734     22666216     23801520     24003946     24111996     
12      26078064     26779426     28013108     28406023     27664326     
14      29980020     31146821     31213584     30625660     31995860     
16      34020770     34525932     35871084     35497786     34965878     
18      36320789     38624008     37940501     37939423     37593823     
20      37580868     40780994     40080514     40238478     41065904     
22      37144204     43273754     40497568     45304805     45570010     
24      45945100     46273716     43789294     47993762     48394059     
26      46916844     47299552     46199310     47470742     48401026     
28      45876102     47977098     47257342     48950168     48445060     
30      45603777     48501144     49373933     51837686     50756192     
32      46608286     51092774     49638472     52548492     51036942     
34      46978670     52043836     52082254     53620457     52958674     
36      49063552     54350986     51844789     52278098     53924643     
38      51976843     53238381     54838404     55835479     54711138     
40      51088188     55114490     54529532     55568416     58016615     
44      45140720     37196592     49605922     48789936     49236362     
48      42491228     36453107     44676492     48872938     48225628     
52      41034480     31784742     40384508     45785734     44325502     
56      41087678     31167882     34614628     44960394     42984180     
60      39834059     31099252     35855076     42638662     44954144     
