### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       4419219      5038306      5112960      
2       6620380      9372867      9426930      
4       11687034     14661536     15656488     
6       16370525     21532950     22441292     
8       20877631     27312412     29454275     
10      24929538     33866968     36066884     
12      29191541     40163774     41441103     
14      31541896     45792685     47492246     
16      33895481     50493901     53357586     
18      35482995     56287828     57797571     
20      36731786     60548162     63526064     
22      36946482     63609706     67622300     
24      36821746     68172499     71427471     
26      36556259     71256916     74542732     
28      35840486     73610346     78184704     
30      35079199     76561845     80778347     
32      34270412     79239014     83269507     
34      33483740     82660246     86591312     
36      32656762     84010263     90057889     
38      31960595     87327663     92082728     
40      31332440     88259857     95697092     
44      24095832     84227568     80977854     
48      19850470     82571255     77546898     
52      16471066     81819892     75023359     
56      14642798     81761281     71734759     
60      12845422     81446130     70079895     
