### params -i1024 -r2048 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ./bin/lpdxeon2680/lb-map        ./bin/lpdxeon2680/lb-map_optik  
#cores  throughput  %linear scalability throughput  %linear scalability 
1       1656818     100.00  1           1686982     100.00  1           
2       699806      21.12   0.42        1550842     45.96   0.92        
4       860590      12.99   0.52        2157096     31.97   1.28        
6       864404      8.70    0.52        1970352     19.47   1.17        
8       806602      6.09    0.49        1651811     12.24   0.98        
10      883533      5.33    0.53        1534182     9.09    0.91        
12      914344      4.60    0.55        1427996     7.05    0.85        
14      864756      3.73    0.52        1124970     4.76    0.67        
16      868993      3.28    0.52        1138272     4.22    0.67        
18      799880      2.68    0.48        947327      3.12    0.56        
20      781186      2.36    0.47        937795      2.78    0.56        
22      762690      2.09    0.46        929307      2.50    0.55        
24      773408      1.95    0.47        886952      2.19    0.53        
26      772337      1.79    0.47        949238      2.16    0.56        
28      757946      1.63    0.46        952851      2.02    0.56        
30      686588      1.38    0.41        995923      1.97    0.59        
32      716340      1.35    0.43        948450      1.76    0.56        
34      678732      1.20    0.41        939555      1.64    0.56        
36      668728      1.12    0.40        968734      1.60    0.57        
38      655655      1.04    0.40        965898      1.51    0.57        
40      634636      0.96    0.38        1020256     1.51    0.60        
44      13700       0.02    0.01        1023391     1.38    0.61        
48      11416       0.01    0.01        1031254     1.27    0.61        
52      14794       0.02    0.01        1040172     1.19    0.62        
56      6460        0.01    0.00        1029488     1.09    0.61        
60      8636        0.01    0.01        1060418     1.05    0.63        
