### ./bin/lpd48core/lf-ht_harris / params -i512 -r1024 -u50 -l2 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lf-ht_harris    
#cores  throughput  %linear scalability 
1       26557921    100.00  1           
2       14207786    26.75   0.53        
4       19422153    18.28   0.73        
6       25312039    15.88   0.95        
8       29618055    13.94   1.12        
10      33777079    12.72   1.27        
12      36817302    11.55   1.39        
14      39545077    10.64   1.49        
16      42262400    9.95    1.59        
18      44062164    9.22    1.66        
20      44155941    8.31    1.66        
22      45562320    7.80    1.72        
24      44825907    7.03    1.69        
26      45009160    6.52    1.69        
28      45280182    6.09    1.70        
30      46948576    5.89    1.77        
32      47183191    5.55    1.78        
34      48624172    5.38    1.83        
36      48852482    5.11    1.84        
38      50123207    4.97    1.89        
40      50533365    4.76    1.90        
42      51381901    4.61    1.93        
44      50928193    4.36    1.92        
46      51345907    4.20    1.93        
48      51219190    4.02    1.93        
52      50183512    3.63    1.89        
56      49556767    3.33    1.87        
60      49087767    3.08    1.85        
64      48927255    2.88    1.84        
