### params -i8192 -r16384 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       19877774     32258755     32037746     18576442     21862833     30559059     
2       34104513     45089806     40504673     32891482     20577039     37578064     
4       45699953     44396995     42786736     39014233     41618829     53722562     
6       61461085     56614753     58132168     56467872     55529956     72538925     
8       76894750     68108074     74383772     70396484     71461906     87203637     
10      89638832     76632304     83008928     86147983     84335523     96833061     
12      98578520     75597588     98242809     99284074     94565237     105211091    
14      98654538     64983986     106327925    110866918    105385219    110135536    
16      80183447     50762748     114185954    122037470    115232959    115678392    
18      59082780     38606212     126475328    132510840    123595202    119891273    
20      52070134     34354710     133870009    142331723    131040011    124898846    
22      44992724     27872579     139248454    149341263    138658701    127189339    
24      43898183     27825862     145159668    156768314    144877362    131945661    
26      41447005     25578521     149056333    162712921    150330498    136574717    
28      40491475     25267100     155253827    168096827    154475370    140924979    
30      40152386     24260529     160068611    173551313    160360194    145843049    
32      39339401     24187255     164997242    179463422    165787495    148812065    
34      37814549     22995923     169192532    184273854    170289152    152987160    
36      36108659     23174119     173852357    190582870    175628735    157510134    
38      35358087     21497972     178510194    195672663    179946521    161535458    
40      35728679     22082205     181514012    200649766    184548201    162891535    
44      29346455     17806197     119386417    150415690    146255817    122475107    
48      27846077     15262241     102902800    128401673    131447242    106612281    
52      24077002     13316312     88086031     109494903    117864241    90764536     
56      22594506     11554646     79991701     95490755     106800089    85266664     
60      20986868     11481114     71585935     78439583     102707706    76447893     
