### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_optik_cache_0 lpdxeon2680lb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       427153       500624       394777       500673       479211       738658       737357       
2       390953       281753       325468       354494       264601       609101       661184       
4       977372       1125402      476271       775662       1009167      1601093      1641722      
6       1555567      1712630      544113       759221       1616501      2198830      2172364      
8       1790345      1816066      538326       738417       1890254      2586440      2634220      
10      2036466      2143790      476671       734158       2112056      3078950      3357914      
12      2345573      2468234      454143       699003       2346872      3701132      3680108      
14      2608934      2754735      421216       702482       2773383      3945265      4083609      
16      2836490      3048463      404445       698082       2929205      4402073      4375420      
18      3155983      3362045      390123       701677       3247501      4898274      4926445      
20      3363942      3503607      367679       686928       3343726      5093925      5205599      
22      3506665      3709881      359059       684843       3617038      5210790      5428206      
24      3658707      3851451      358289       686089       3774097      5498716      5705080      
26      3847658      3901526      349295       684130       3976455      5582697      5820842      
28      4048684      4002105      343927       667631       4026441      5812555      5947341      
30      4061174      4068571      332831       662479       3991792      5851721      5976042      
32      4183657      4171421      329436       632319       4081413      5809190      5993358      
34      4105834      4126047      316504       617672       3892078      5823805      6174174      
36      4196542      4094018      308950       551121       4111498      5885972      5975712      
38      4293515      4138177      313355       502502       4126022      5953867      6070926      
40      4367256      4088066      302732       437038       4038339      6066480      6028050      
44      4275697      3848234      5935         442297       4015719      5771259      5741239      
48      4111306      3726851      4803         423662       3872022      5615323      5527701      
52      4078274      3691419      4329         417128       3834024      5412830      5208733      
56      3981002      3515100      4098         410864       3761999      5359888      4913343      
60      3884307      3383031      2510         410616       3697108      5257895      4457596      
