### params -i1024 -r2048 -u1 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       ./bin/lpd48core/lb-map          ./bin/lpd48core/lb-map_optik    
#cores  throughput  %linear scalability throughput  %linear scalability 
1       1048954     100.00  1           882274      100.00  1           
2       891148      42.48   0.85        1762575     99.89   2.00        
4       737719      17.58   0.70        3503783     99.28   3.97        
6       567588      9.02    0.54        5212224     98.46   5.91        
8       486856      5.80    0.46        6901549     97.78   7.82        
10      431976      4.12    0.41        8537661     96.77   9.68        
12      387940      3.08    0.37        10073354    95.15   11.42       
14      352161      2.40    0.34        11515182    93.23   13.05       
16      293429      1.75    0.28        12806295    90.72   14.52       
18      287385      1.52    0.27        14126086    88.95   16.01       
20      252884      1.21    0.24        15592532    88.37   17.67       
22      236203      1.02    0.23        16338911    84.18   18.52       
24      227717      0.90    0.22        17091422    80.72   19.37       
26      212795      0.78    0.20        17699515    77.16   20.06       
28      190284      0.65    0.18        18569375    75.17   21.05       
30      191893      0.61    0.18        19222289    72.62   21.79       
32      179313      0.53    0.17        18895034    66.93   21.42       
34      168457      0.47    0.16        19137454    63.80   21.69       
36      160394      0.42    0.15        19846864    62.49   22.50       
38      150468      0.38    0.14        19857546    59.23   22.51       
40      140250      0.33    0.13        18619102    52.76   21.10       
42      143638      0.33    0.14        18861834    50.90   21.38       
44      141101      0.31    0.13        18294593    47.13   20.74       
46      145318      0.30    0.14        18615241    45.87   21.10       
48      132894      0.26    0.13        18779321    44.34   21.29       
52      143362      0.26    0.14        17546333    38.25   19.89       
56      141849      0.24    0.14        18791725    38.03   21.30       
60      120153      0.19    0.11        17946236    33.90   20.34       
64      86722       0.13    0.08        17956854    31.80   20.35       
