### params -i8192 -r16384 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ht_lazy_gl_2 lpd48corelb-ht_java_2 lpd48corelb-ht_java_optik_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       14489241     20086917     19712850     13653210     16595383     19754954     
2       13952166     12760914     12308900     12489501     13437960     17608185     
4       19147017     15924003     16079698     20278642     19794110     26326977     
6       25491091     20171985     21350889     24019273     24390688     34796585     
8       30023296     24111159     24372600     28379493     28866967     42039330     
10      36089490     27603605     28619428     33326705     34395398     49234710     
12      38886403     30944455     31076899     37426241     37998151     57347106     
14      42968505     34431771     34987231     41864714     42682471     63221388     
16      46611305     37776906     38373445     45803227     46246931     69560463     
18      50555386     40640389     41443912     49704677     50484805     74202557     
20      51707645     42359758     44184838     53721566     54496268     79234414     
22      53534324     40049213     47359954     56874633     57610077     82552921     
24      36572001     27036430     49608391     59648561     60754949     86604340     
26      21839308     17772003     52921648     63510140     63701182     89961188     
28      18356766     15440964     54534929     66240261     66725494     89070073     
30      16798643     13470028     56206514     68438555     69186909     90681503     
32      15022751     12447263     57946509     70452265     71086474     91346244     
34      13954223     11372587     58881480     73078181     73044992     91724594     
36      13061437     10676600     59654346     74393698     73951116     91687801     
38      12699864     9908618      59705878     75456066     75090160     92458795     
40      11922483     9527037      59558329     75799309     76120740     91477932     
42      11407758     9197013      59512735     76725275     76527629     91001062     
44      11012847     8619778      57961145     76784677     76420255     90486170     
46      10902062     8363705      57648336     77076582     77428711     89186371     
48      10177150     8319572      57427196     77276630     76915853     88782960     
52      10380221     7519489      46717347     67123584     69675563     68800726     
56      9702414      6799508      41541903     59963960     65399745     57477453     
60      9334811      6312402      38271288     53789019     58721961     48677349     
64      8632292      5968738      33826439     50512126     54487210     45339464     
