### params -i -p -n10 / dur 1000
# number of cores: 10
#./bin/lpd48core/lb-map                          ./bin/lpd48core/lb-map_optik                    
 45      3248    3459    36      36      32      25      5051    5026    12      1779    10      
 2934    8834    6401    3048    2982    2979    26      7972    5677    13      2350    11      
 3216    13160   6904    3278    3258    3258    27      9299    6300    14      2777    12      
 6446    17955   10076   6733    6643    6665    53      12649   8681    15      4816    14      
 15794   30651   17645   18633   16939   18944   3075    25988   14832   2994    11916   3039    
