### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       8194521      10375358     11507809     
2       13227875     14209830     12104368     
4       13856394     19632310     21088358     
6       16909378     26048121     28052763     
8       19106381     31487150     32992608     
10      20069775     36320443     38807078     
12      20939131     40255537     43378330     
14      20565813     43706951     47012260     
16      19747979     46153241     50340688     
18      18984794     48138382     53209347     
20      18342093     50127158     56315102     
22      17641776     51497246     58871637     
24      17133958     52599786     61381493     
26      16812921     54049479     62984746     
28      16594879     54611107     65566663     
30      16378999     56779148     67300286     
32      16192177     58285481     69425179     
34      16056845     59532082     70745805     
36      15922300     60588152     73328928     
38      15819825     61893267     75135172     
40      15695454     62498537     76746880     
44      11295953     61523413     65098003     
48      9160142      60635825     62190814     
52      7665617      60550901     59058806     
56      6563465      60227589     56947413     
60      5886714      59674554     53048294     
