### params -i4 -r8 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lb-map          ./bin/lpd48core/lb-map_optik    
#cores  throughput  %linear scalability throughput  %linear scalability 
1       26952301    100.00  1           41193815    100.00  1           
2       2462309     4.57    0.09        33178007    40.27   0.81        
4       2738179     2.54    0.10        25399157    15.41   0.62        
6       2713831     1.68    0.10        20125204    8.14    0.49        
8       2634420     1.22    0.10        16617810    5.04    0.40        
10      2728591     1.01    0.10        14482561    3.52    0.35        
12      2633336     0.81    0.10        12640089    2.56    0.31        
14      2694559     0.71    0.10        11802319    2.05    0.29        
16      2633002     0.61    0.10        10791916    1.64    0.26        
18      2647730     0.55    0.10        9971549     1.34    0.24        
20      2656886     0.49    0.10        9236617     1.12    0.22        
22      2654870     0.45    0.10        8655766     0.96    0.21        
24      2631757     0.41    0.10        8278208     0.84    0.20        
26      2642502     0.38    0.10        7919053     0.74    0.19        
28      2628911     0.35    0.10        7673862     0.67    0.19        
30      2640455     0.33    0.10        7426896     0.60    0.18        
32      2626138     0.30    0.10        7152246     0.54    0.17        
34      2630931     0.29    0.10        7195659     0.51    0.17        
36      2631459     0.27    0.10        7029253     0.47    0.17        
38      2601511     0.25    0.10        6824647     0.44    0.17        
40      2631458     0.24    0.10        6730159     0.41    0.16        
42      2617971     0.23    0.10        6550688     0.38    0.16        
44      2607420     0.22    0.10        6459848     0.36    0.16        
46      2609371     0.21    0.10        6280878     0.33    0.15        
48      2581220     0.20    0.10        6339589     0.32    0.15        
52      13397       0.00    0.00        6178104     0.29    0.15        
56      15466       0.00    0.00        5970984     0.26    0.14        
60      12007       0.00    0.00        5920840     0.24    0.14        
64      12278       0.00    0.00        5768333     0.22    0.14        
