### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-sl_fraser_2 lpd48corelb-sl_herlihy_2 lpd48corelb-sl_optik2_2 lpd48corelb-sl_optik_2 lpd48corelb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3397138      3678819      3552874      3687883      3675740      
2       4560910      5464984      4910870      5191991      5321962      
4       7856555      9373522      7825012      8082891      8057174      
6       9400600      11254192     9885547      10344667     10372275     
8       11251406     12758233     11593518     11841132     12133786     
10      12732844     14460176     12931514     13605042     13696555     
12      13469104     15322319     13772765     14319789     14605011     
14      14347279     15829588     14288760     14920584     15532811     
16      14728127     16041389     14305662     15155084     15969085     
18      15025127     15640974     13900443     15255422     16351512     
20      15331953     14681798     13058752     15202276     16569129     
22      15318553     13663889     11832008     15019359     16557845     
24      15305440     12472613     10483459     14611732     16548321     
26      15249312     11191224     9435061      14237577     16481338     
28      15118421     10134502     8366640      13794958     16456566     
30      15052922     9129906      7505666      13576816     16373497     
32      14876192     8240135      6759223      13153533     16241045     
34      14633582     7563323      6330325      12869287     16111560     
36      14577360     6865779      5858968      12588411     16012095     
38      14461190     6264049      5420995      12345025     15879299     
40      14234560     5806309      5047240      12013844     15734430     
42      14091201     5342166      4717979      11748118     15584922     
44      13840943     4988863      4448824      11492861     15425143     
46      13687731     4689331      4203932      11234953     15244117     
48      13584544     4393814      4029180      10934984     15108131     
52      13578662     3545240      3565394      8946228      13094157     
56      13260295     2902643      3246590      7417996      11727366     
60      13332567     2554536      2905171      6528866      10625265     
64      13315050     2114306      2698811      5705958      9685457      
