### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       21267436     31239402     31857925     20926718     25153406     30951932     
2       39268056     23733014     45394511     37130430     42596238     52931076     
4       51813098     45794557     45715962     48267692     52714861     68296210     
6       73499902     65652642     57718318     62262882     90818573     90361077     
8       91572020     84127222     77113786     88062554     93903680     114920675    
10      105379329    87961674     103373146    108096132    116159630    137712029    
12      122414647    106750729    117254514    117287278    119543557    150947450    
14      139489024    104040036    116165874    135913545    145967044    167551142    
16      139410136    103123295    128248724    148293848    150472326    163212681    
18      138101639    84690390     136955997    158431592    163434718    165758802    
20      116325025    66043406     147169426    169732922    174903520    173435554    
22      100512409    52581880     153477113    176481664    182358472    178891720    
24      103339446    52124378     160375231    184656332    190418627    183588648    
26      77280698     44879294     166388726    192006534    196394045    188820952    
28      69914758     39959722     169613344    199146368    205328651    194419192    
30      69772093     39187987     174860394    204982788    211268760    203042361    
32      65224992     37766484     181471442    211192166    215560086    207432924    
34      65704729     36976848     184824411    217373750    223559726    211474282    
36      63677222     36732722     189790320    224922275    228083780    216903160    
38      62734654     37683782     195897094    229747722    237561680    224790621    
40      55305128     32693906     193461374    234636534    241768724    227085362    
44      43977928     24290018     103042188    172849036    178542245    145247268    
48      38438134     22544454     93914106     158888920    153390189    122850451    
52      34771640     18326028     87605568     118785388    114031336    101389096    
56      35322059     16909661     77697310     111908007    106073882    93435746     
60      31021037     14875686     68850708     72532621     79462809     89294339     
