### params -i512 -r1024 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       27925722     33594373     33626183     27356311     29924522     34440318     
2       38943875     45489052     45204185     42239334     43841467     51611572     
4       45169807     39668224     45800240     43508688     45589701     50361391     
6       60053200     54500187     56568473     60109568     58922244     60426454     
8       73920572     67152049     72514820     74975050     73559174     69569795     
10      79699350     73655380     79658042     87361649     81539220     77513393     
12      86178416     75450247     92518938     99685151     90038319     83974367     
14      81764677     62115863     101303812    114656528    98166728     87950615     
16      71933130     50772677     111871302    121827564    107864693    91283366     
18      56021207     36036144     119719249    130577623    114583700    96281271     
20      48668098     32664445     126718571    139309628    122252374    99229766     
22      41873105     27830526     133731016    146720135    128725363    102168361    
24      39353210     26180294     140463545    153191463    135571631    105461421    
26      38419732     25643437     144215938    159276621    142902989    108842740    
28      36604105     24436654     149829408    165127579    149894828    112281312    
30      36519506     23796576     154693935    170764870    157051891    115077377    
32      35450967     23501530     159907024    176428473    163995847    118454745    
34      35333607     22729778     164741218    182463175    170930007    121980710    
36      34514299     23790580     168985591    187921968    177492790    123938658    
38      33754240     22085667     173574963    194052623    184707432    128290402    
40      34499374     21726427     177851454    199088193    191681339    128696927    
44      27086096     17401497     118395467    137654486    140715201    92899683     
48      23622125     14995441     102723287    105485699    119739763    78194819     
52      21171034     12937476     87496561     87767608     104162767    67393976     
56      18870144     12056050     78951370     80656331     89396873     59747673     
60      18111272     11152194     71863542     72539669     75638402     56262816     
