### params -i65534 -p50 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ././bin/lpd48core/lf-st_treiber ./bin/lpd48core/lb-st_lock      ./bin/lpd48core/lb-st_optik     
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       29711722    100.00  1           24019429    100.00  1           27764615    100.00  1           
2       9863594     16.60   0.33        1360349     2.83    0.06        10301270    18.55   0.37        
4       3958793     3.33    0.13        1496063     1.56    0.06        4050937     3.65    0.15        
6       2291874     1.29    0.08        1464164     1.02    0.06        2331381     1.40    0.08        
8       1673839     0.70    0.06        1447343     0.75    0.06        1633719     0.74    0.06        
10      1457916     0.49    0.05        1476016     0.61    0.06        1383127     0.50    0.05        
12      1267931     0.36    0.04        1466240     0.51    0.06        1139900     0.34    0.04        
14      1063465     0.26    0.04        1408381     0.42    0.06        924901      0.24    0.03        
16      854346      0.18    0.03        1445828     0.38    0.06        726637      0.16    0.03        
18      745673      0.14    0.03        1463872     0.34    0.06        606597      0.12    0.02        
20      624038      0.11    0.02        1488688     0.31    0.06        509013      0.09    0.02        
22      528207      0.08    0.02        1467966     0.28    0.06        463367      0.08    0.02        
24      459278      0.06    0.02        1454056     0.25    0.06        409463      0.06    0.01        
26      406775      0.05    0.01        1442819     0.23    0.06        373868      0.05    0.01        
28      364424      0.04    0.01        1441602     0.21    0.06        351376      0.05    0.01        
30      329786      0.04    0.01        1455269     0.20    0.06        329400      0.04    0.01        
32      297124      0.03    0.01        1438789     0.19    0.06        316318      0.04    0.01        
34      274762      0.03    0.01        1454500     0.18    0.06        298679      0.03    0.01        
36      258041      0.02    0.01        1445327     0.17    0.06        287617      0.03    0.01        
38      236983      0.02    0.01        1431991     0.16    0.06        274280      0.03    0.01        
40      226137      0.02    0.01        1446732     0.15    0.06        263787      0.02    0.01        
42      210504      0.02    0.01        1438455     0.14    0.06        251061      0.02    0.01        
44      199870      0.02    0.01        1410182     0.13    0.06        241374      0.02    0.01        
46      188128      0.01    0.01        1441367     0.13    0.06        230375      0.02    0.01        
48      185868      0.01    0.01        1388189     0.12    0.06        224542      0.02    0.01        
52      182877      0.01    0.01        7112        0.00    0.00        212919      0.01    0.01        
56      184117      0.01    0.01        6445        0.00    0.00        204795      0.01    0.01        
60      186422      0.01    0.01        5707        0.00    0.00        196277      0.01    0.01        
64      193733      0.01    0.01        6952        0.00    0.00        192619      0.01    0.01        
