### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik2_2 lpdxeon2680lb-sl_optik_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       7095544      7618349      7613577      7806037      7695662      
2       12341440     13300983     12898477     13550253     13111989     
4       14489684     15171584     15233698     15847300     15638051     
6       18073924     18357294     18747409     18955528     19599788     
8       20368731     20828412     20858148     21448177     21842346     
10      22522817     21579102     22107015     23489611     24263979     
12      24659975     23428903     23417856     24990209     26121924     
14      26331927     21699132     24025710     26706220     27948161     
16      27718614     20065055     24523845     27708488     29667384     
18      28813433     19084341     44546238     48168233     30317176     
20      28168334     35202493     44620423     44037745     31450441     
22      29414198     18649046     28775401     29866811     28535504     
24      32495339     14473613     24718773     20570180     18985084     
26      32604696     13065042     17593970     19843308     36356047     
28      33026381     11166439     15109859     17911240     37055957     
30      32761334     7509872      11695468     32424754     38174461     
32      34342993     8916492      17345678     32892048     39174920     
34      35009366     8425595      16650095     33371637     40178006     
36      35630577     7970029      16021499     33838028     41098895     
38      36106119     7529569      15418895     34037750     42125699     
40      36547919     7191723      14814376     34246326     42835600     
44      36211588     5643318      12132140     24397826     32031575     
48      35742543     2129505      4147860      7345952      9328046      
52      3760349      2145870      3448572      6769004      21978553     
56      36079357     3239661      7457762      14231393     19088753     
60      35692196     2858554      6423899      12904657     17633265     
