### params -i65534 -p50 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ././bin/lpdxeon2680/lf-st_treiber./bin/lpdxeon2680/lb-st_lock    ./bin/lpdxeon2680/lb-st_optik   
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       45894397    100.00  1           32628177    100.00  1           34963807    100.00  1           
2       18466196    20.12   0.40        4904405     7.52    0.15        15975169    22.85   0.46        
4       9662820     5.26    0.21        3508219     2.69    0.11        8730437     6.24    0.25        
6       7105029     2.58    0.15        3887979     1.99    0.12        6317873     3.01    0.18        
8       5788511     1.58    0.13        4036521     1.55    0.12        5085409     1.82    0.15        
10      5072836     1.11    0.11        3776579     1.16    0.12        4603352     1.32    0.13        
12      4684186     0.85    0.10        3836484     0.98    0.12        4381403     1.04    0.13        
14      4501791     0.70    0.10        3714926     0.81    0.11        4133496     0.84    0.12        
16      4354969     0.59    0.09        3451447     0.66    0.11        3968066     0.71    0.11        
18      4256745     0.52    0.09        3517344     0.60    0.11        3790353     0.60    0.11        
20      4159205     0.45    0.09        3364049     0.52    0.10        3735319     0.53    0.11        
22      4127547     0.41    0.09        3326223     0.46    0.10        3725335     0.48    0.11        
24      4052422     0.37    0.09        3355536     0.43    0.10        3610382     0.43    0.10        
26      4036662     0.34    0.09        3288363     0.39    0.10        3536817     0.39    0.10        
28      3807532     0.30    0.08        3317786     0.36    0.10        3446071     0.35    0.10        
30      3897346     0.28    0.08        3290383     0.34    0.10        3319246     0.32    0.09        
32      3855737     0.26    0.08        3393795     0.33    0.10        3379019     0.30    0.10        
34      3630793     0.23    0.08        3388046     0.31    0.10        3103207     0.26    0.09        
36      3626895     0.22    0.08        3412837     0.29    0.10        3252069     0.26    0.09        
38      3732817     0.21    0.08        3453700     0.28    0.11        3220093     0.24    0.09        
40      3513744     0.19    0.08        3509743     0.27    0.11        3027210     0.22    0.09        
44      3517077     0.17    0.08        22335       0.00    0.00        2932374     0.19    0.08        
48      3476651     0.16    0.08        24443       0.00    0.00        2827306     0.17    0.08        
52      3567791     0.15    0.08        29647       0.00    0.00        2508075     0.14    0.07        
56      3718100     0.14    0.08        31014       0.00    0.00        2540097     0.13    0.07        
60      3574073     0.13    0.08        22748       0.00    0.00        2463398     0.12    0.07        
