### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ht_lazy_gl_0 lpd48corelb-ht_java_0 lpd48corelb-ht_java_optik_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       6793231      21988073     21559689     4825298      12634363     23068348     
2       10597595     15407859     14462974     7799876      15884274     24468767     
4       18244419     18808027     22078656     14801533     23526222     31669997     
6       24667100     23906606     25187624     20897184     32693232     44332811     
8       32363354     29093652     29241314     26832899     41434413     53972228     
10      38480795     33615774     34257639     33800327     47978764     66428096     
12      44826170     38413187     38712570     38502310     57451351     73309496     
14      51047266     43114730     44038306     43733891     63663072     85077339     
16      57256559     46962862     47163753     48993965     71357277     91945370     
18      62428636     50797791     51200729     54948151     77502242     99883645     
20      68794379     54951027     54211669     60741651     83642590     108385546    
22      73000339     57954116     57517602     64113943     88512993     113917551    
24      78871299     60737866     60743997     70147962     94937446     121676356    
26      83266662     65313710     62830031     74691763     99908302     124930808    
28      91585807     67522861     65927515     78913326     104383812    127619519    
30      93256013     68016764     67426914     84664213     106419348    128375410    
32      95655685     68511869     67125510     88060240     108966717    127654525    
34      102741721    71253132     68762368     93416858     112033856    125092854    
36      105073216    66221429     68452557     97057805     116218634    123328817    
38      109288405    67068409     68000247     101693215    109333793    119805544    
40      113801444    71992935     69346260     104245002    105948803    116238976    
42      112704660    66475832     63893256     106933330    105045305    114287718    
44      113394879    62500168     67225269     107681760    100834615    112701024    
46      111536884    63706714     62917165     109842609    97440977     112492641    
48      109539643    63245006     66395668     109438537    101062895    112537421    
52      95429900     44593438     45066878     107307622    99394098     115143222    
56      79143120     36491178     39470793     100604784    105274735    114473646    
60      61768455     29968160     33376971     103720761    95943717     113464374    
64      48427214     25133676     32362049     97999423     102564366    111401119    
