### params -i64 -r128 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_lazy_2 lpd48corelb-ll_gl_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_optik_cache_2 lpd48corelb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       5262644      6573495      5473044      6648362      6073301      8712520      9126342      
2       6830126      7475975      2958856      5485838      7147454      9177611      8795532      
4       10697553     9143904      2652560      5557610      9603444      11419239     9769740      
6       10359196     9004441      2295650      5609093      10161527     11751513     10355319     
8       10775199     8786652      1959429      5219158      10191612     11851394     9963915      
10      10861325     8455928      1782729      5031425      10255934     11985607     9739984      
12      10789389     8041401      1633373      4465261      10209167     11750780     9216018      
14      10760361     7681682      1514474      3974153      10272077     11723954     8804911      
16      10589268     7425278      1401382      3422427      10208418     11673188     8371221      
18      10517210     7186704      1328450      3026128      10164572     11549037     8032066      
20      10460462     6977770      1253933      2640153      10145008     11554578     7762224      
22      10333217     6775674      1186850      2275906      10102848     11494276     7513523      
24      10297508     6662696      1131068      2001033      10020533     11431871     7335100      
26      10221402     6486800      1081939      1770215      9963788      11430426     7165495      
28      10144501     6383636      1043362      1586500      9951572      11410738     7038229      
30      10117004     6237320      1002389      1444704      9936773      11369733     6908400      
32      10100631     6145563      968390       1349088      9875330      11334666     6820759      
34      9990042      6031429      940451       1271368      9863680      11311544     6707526      
36      9966228      5931089      898124       1198093      9833651      11329346     6634062      
38      9912577      5789109      878867       1146137      9851961      11308775     6537870      
40      9848317      5708670      838729       1094400      9789533      11259534     6488674      
42      9807340      5590577      824078       1057080      9731964      11288439     6329463      
44      9788301      5484708      785457       1015413      9725358      11226263     6273918      
46      9714919      5367099      764943       971672       9736947      11178910     6191359      
48      9721304      5275071      722683       944528       9642733      11202906     6087601      
52      9650092      4018099      7320         934114       8564600      9684003      4248128      
56      9645445      2975470      6529         919584       7607609      8713843      2853375      
60      9706208      2128552      4575         910857       6818562      7737187      2007316      
64      9607199      1666761      4796         900328       6274323      7064156      1453469      
