### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-sl_fraser_0 lpd48corelb-sl_herlihy_0 lpd48corelb-sl_optik2_0 lpd48corelb-sl_optik_0 lpd48corelb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2041263      2134918      2259542      2315287      2302718      
2       2691301      3480923      3642197      3737234      3729374      
4       4365285      6199874      6422143      6580927      6552724      
6       5408157      9064973      9265874      9646714      9625475      
8       7190724      11372841     11964918     12104093     11970750     
10      7219215      13705270     14250972     14368508     14193171     
12      9255710      15837097     16790826     16985941     16930829     
14      8384072      17601747     18701366     19345076     19055937     
16      10106591     20106162     20935362     21378726     21330846     
18      8958280      21703027     22608893     23108032     22826337     
20      11206388     23940313     24680457     25178424     25013352     
22      10514852     25618312     26015802     26881174     26316333     
24      11163449     27159394     28335431     29256345     28457989     
26      11009491     28658697     29716074     30325231     29831142     
28      12184818     29790636     31062149     31785131     31054028     
30      12986583     31243081     32375085     33023573     32367307     
32      13420074     32581175     33543331     34336996     33899356     
34      13193851     33684209     34347261     35992189     34963292     
36      13996198     34040480     35491740     35962504     36185703     
38      12186377     35597722     36499728     37620124     37385074     
40      13836647     36246022     37422765     38505447     37661135     
42      13741099     36836089     38257562     39234607     38733543     
44      15318045     37821521     39691067     40424416     39120680     
46      13306906     38467864     40262219     40973402     40212071     
48      15803251     39183737     40102009     41298580     41217483     
52      11119044     33602299     36149237     37159571     36303423     
56      10827430     30072651     34133728     36032849     35449121     
60      10801333     29144203     31466832     35091079     34718582     
64      10609827     28649221     30181635     34402503     34074106     
