### params -i65534 -p40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/lpdxeon2680/lf-st_treiber./bin/lpdxeon2680/lb-st_lock    ./bin/lpdxeon2680/lb-st_optik   
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       48289544    100.00  1           33086379    100.00  1           38758632    100.00  1           
2       16941480    17.54   0.35        3996576     6.04    0.12        17191398    22.18   0.44        
4       10476130    5.42    0.22        3768482     2.85    0.11        9558274     6.17    0.25        
6       7989852     2.76    0.17        3883719     1.96    0.12        6937600     2.98    0.18        
8       6434350     1.67    0.13        4002878     1.51    0.12        5880054     1.90    0.15        
10      5883224     1.22    0.12        4167288     1.26    0.13        5024021     1.30    0.13        
12      5378078     0.93    0.11        4215074     1.06    0.13        4837306     1.04    0.12        
14      5306226     0.78    0.11        3779576     0.82    0.11        4957067     0.91    0.13        
16      5101709     0.66    0.11        3527672     0.67    0.11        4533315     0.73    0.12        
18      4954390     0.57    0.10        3601444     0.60    0.11        4304166     0.62    0.11        
20      4830218     0.50    0.10        3605930     0.54    0.11        4303918     0.56    0.11        
22      4735111     0.45    0.10        3489968     0.48    0.11        4104834     0.48    0.11        
24      5028358     0.43    0.10        3622518     0.46    0.11        4178154     0.45    0.11        
26      4679282     0.37    0.10        3495498     0.41    0.11        4096788     0.41    0.11        
28      4773392     0.35    0.10        3496096     0.38    0.11        4116344     0.38    0.11        
30      4667906     0.32    0.10        3501781     0.35    0.11        4078226     0.35    0.11        
32      4328646     0.28    0.09        3450199     0.33    0.10        3905880     0.31    0.10        
34      4331920     0.26    0.09        3554674     0.32    0.11        3923965     0.30    0.10        
36      4462484     0.26    0.09        3556055     0.30    0.11        3874816     0.28    0.10        
38      4269810     0.23    0.09        3570705     0.28    0.11        3660135     0.25    0.09        
40      4265284     0.22    0.09        3583287     0.27    0.11        3664720     0.24    0.09        
44      4449620     0.21    0.09        87532       0.01    0.00        3612647     0.21    0.09        
48      4377990     0.19    0.09        17017       0.00    0.00        3347786     0.18    0.09        
52      4374312     0.17    0.09        57134       0.00    0.00        3248729     0.16    0.08        
56      4457992     0.16    0.09        109048      0.01    0.00        3063388     0.14    0.08        
60      4460244     0.15    0.09        88480       0.00    0.00        3112852     0.13    0.08        
