### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_lazy_2 lpd48corelb-ll_gl_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_optik_cache_2 lpd48corelb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       392084       529691       187106       520166       467779       862057       931014       
2       534506       657890       305117       580709       586531       1049224      1136056      
4       906268       1059966      375879       739033       961092       1693054      1811821      
6       1276451      1467045      306051       832354       1331517      2292404      2472240      
8       1629780      1848607      261068       887672       1696654      2852430      3059915      
10      1981691      2220277      234303       933138       2044297      3385096      3633617      
12      2313013      2573028      217102       957529       2374918      3872956      4133470      
14      2626114      2905624      205683       988940       2701090      4331203      4629855      
16      2948033      3232254      194266       1000988      3009152      4758625      5075653      
18      3238984      3550470      186737       1016165      3303631      5160797      5534960      
20      3522109      3856214      179793       1021601      3594507      5532513      5924405      
22      3809323      4112512      174375       1050138      3864114      5919688      6325327      
24      4017197      4336868      169492       1039463      4123042      6208918      6638835      
26      4287900      4573860      164553       1022902      4321999      6495032      7008449      
28      4513348      4864976      158670       1013669      4550787      6809877      7215419      
30      4716769      5016300      152035       992625       4800180      7061961      7475722      
32      4855746      5186168      145903       929713       4986047      7255328      7684517      
34      5019525      5263448      139693       900671       5108800      7425657      7789358      
36      5154305      5401358      135760       856440       5159638      7428895      7899597      
38      5159264      5427321      131630       835658       5156382      7474458      7993977      
40      5213204      5608147      127367       786377       5173309      7592374      8038387      
42      5359892      5522763      121916       734535       5215331      7698089      7962936      
44      5282827      5560109      119198       653534       5210610      7615214      8025877      
46      5227957      5497627      118733       638521       5233331      7430381      8003697      
48      5217541      5466795      111356       580386       5302637      7442535      8065020      
52      4914909      5018009      4653         664868       4765462      6776064      7383064      
56      4661345      4611208      3174         621430       4458486      6556287      6588228      
60      4381812      4204299      2416         604692       4211781      6193067      5859296      
64      4145456      3857566      2665         587401       4036113      5760381      5241619      
