### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       6633616      7269160      7196126      7259561      7129950      
2       8568404      12977461     10819966     8970888      9502562      
4       16029421     17086302     17695951     17422059     15551536     
6       21671690     21443374     22534242     23250992     23023656     
8       24316473     29166398     27004748     27576183     28475994     
10      28509127     32392036     32166664     31883105     33058155     
12      32093961     34748858     34713114     33831541     35970526     
14      35918794     38571314     38892096     39530141     39996904     
16      38900378     42155638     41411019     42648054     42552615     
18      42667269     45707362     44734140     45242137     45030450     
20      44737298     49470508     46848941     48291020     48923995     
22      48828929     52119914     51243457     52708584     52314359     
24      50427650     54933369     54488927     54542936     53237580     
26      52018492     56985471     55909791     56203657     56853012     
28      54852464     59493152     59520711     59120561     58852784     
30      56428107     60251638     59583986     61828973     62115148     
32      57327350     63592467     62085214     64452410     63627700     
34      58666113     65205616     64237911     66255641     65411930     
36      60044843     67293772     66351294     68434401     67189942     
38      63122892     67199658     68568086     70326985     69429890     
40      63149914     70863118     70825474     71161624     72800439     
44      59394792     44318996     44163533     52222866     52928622     
48      56939568     35565934     35940554     44464050     47087460     
52      55705623     26513821     30964040     33672270     35481853     
56      54572480     23641881     24480049     28783569     33787372     
60      52800343     18702760     21045489     26261900     25769146     
