### params -i1024 -u1 -n10 / dur 1000
# number of cores: 10
#./bin/lpd48core/lb-map                          ./bin/lpd48core/lb-map_optik                    
 3230    5353    3672    3824    4000    4781    188     5504    621     433     589     868     
 5252    6060    7608    5652    6144    8139    826     5523    1313    1708    2674    2253    
 25900   25138   22139   27289   25633   25568   1612    5545    2145    3088    5538    3084    
 76104   72140   68995   77486   70423   70857   2407    6278    2965    3089    5621    3085    
 203472  200316  186761  206464  207065  202081  3055    12236   5674    3401    11410   3837    
