### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       6569951      7069658      7037157      7229464      7163689      
2       9903918      12052073     12669600     13126966     9296519      
4       15770928     17180920     16810898     17276661     17427766     
6       20429586     22992123     22723583     23322304     23249894     
8       24717866     26632179     26625741     27579363     27291276     
10      29202310     31086953     30470709     31852689     31290132     
12      32500595     34938690     34626375     35309152     35225737     
14      36119297     38726757     39053115     38192510     38712715     
16      39308589     42114174     42521159     42616491     42861873     
18      41795381     46133045     44851395     46389443     46502369     
20      44695106     48579810     48522687     49335636     49203809     
22      47794739     51973646     50626488     52124731     52437867     
24      49962168     54385981     53841401     54387259     54625496     
26      52147627     56714390     56311641     56850495     57289791     
28      53987404     59328541     57920018     59015032     59554394     
30      56277517     60775523     60208600     61376145     61356380     
32      57407133     63026780     62489825     63560064     64521642     
34      58957887     65035027     63725282     64654729     64483326     
36      59937810     66680468     66088640     67121336     66957873     
38      61200068     68195851     67101677     68572999     68914589     
40      62520651     69579265     68421140     70181212     70886963     
44      60396283     46643593     47315918     51038652     52316130     
48      58637826     35045801     35631569     40459080     41567855     
52      57811710     27433458     27873210     33422368     34909263     
56      56793725     21599186     23208617     27954288     30304783     
60      55623639     18192536     18747696     25696371     27029952     
