### params -i16384 -r32768 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik2_2 lpdxeon2680lb-sl_optik_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4660774      4797424      4829315      5045401      4862451      
2       8734168      7076003      6886269      9281500      9157486      
4       12293490     13348934     13059154     13238813     13483206     
6       16879520     17783822     17298720     17613078     17766697     
8       21076376     21671460     21889899     21736871     21848949     
10      23873492     25696523     25466369     25837926     25349708     
12      27866459     28161064     27827698     28154149     27962490     
14      29849185     31789971     30061256     30271304     30930820     
16      31653019     33122379     31774397     32879391     32584800     
18      34173396     33179644     33580974     34382325     35673135     
20      35833924     32472685     34693995     36599443     37115118     
22      36866540     30103212     35254134     38077384     39183424     
24      38959770     28541526     35230646     39513604     40876210     
26      40012732     26069093     35060716     40971726     42255698     
28      41437819     22666998     34338828     41963964     43808818     
30      41938686     20506740     33554275     43021290     45242293     
32      43705297     18702804     32253998     44075610     46599088     
34      44630046     16827818     31115832     44923268     48427972     
36      45859965     15634586     29968434     45918857     49929603     
38      45261424     14453822     28388608     47028427     50312098     
40      46237426     13258438     27242808     46695850     50831416     
44      44880075     11348662     22276568     36198946     42560350     
48      44475400     9041215      18597342     30997507     35706243     
52      43113605     8009396      15323472     25019293     30720146     
56      43751232     6678704      13980168     22773971     27600741     
60      43443086     6033033      12782691     21116108     24003908     
