### params -i1024 -r2048 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       7667980      9352497      11049656     
2       7880110      16853303     19547544     
4       17714236     22330965     27282583     
6       20992391     32112464     36016800     
8       28311803     40117090     46140043     
10      32009519     44333642     53907170     
12      41686959     50490849     62312077     
14      48343528     55144081     62481018     
16      52276753     66446825     70677428     
18      49305693     71156017     77215825     
20      52116251     76528749     86503725     
22      58803090     86417088     92543551     
24      63214854     91900680     97753866     
26      62181376     96260106     105448268    
28      73268054     99077933     107743123    
30      71933649     108794440    114713786    
32      79418167     108649926    119969740    
34      78667454     115264667    118615844    
36      84850898     118448119    126984732    
38      85439008     124989605    126579453    
40      88892992     130142413    129552162    
44      49096449     110206259    111423694    
48      36323338     103653486    104109197    
52      33833722     101592769    98425571     
56      28579304     103054316    94401582     
60      24860133     95152999     93708448     
