### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_0 lpd48corelf-bst-aravind_0 lpd48corelb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       3627119      4497323      4909853      
2       4871036      6376642      7023627      
4       7735200      10234816     11030642     
6       10728529     14647910     15044800     
8       12937275     17818500     19256677     
10      15236216     20791506     22583630     
12      16837333     24150041     25530525     
14      18961461     26799373     28257031     
16      20745689     29310063     31455715     
18      22439327     32120893     33774187     
20      24005194     34472556     36019899     
22      25526323     36663756     38945183     
24      27215160     38596806     40370664     
26      28443949     40627430     42639414     
28      29437272     43084329     45749767     
30      30658335     44690485     47077182     
32      32395755     47577489     48831996     
34      32068969     49414446     51044135     
36      34146818     51156098     52431301     
38      32062870     48963771     50082515     
40      30042919     48045692     48941936     
42      27932051     47541790     48873858     
44      27171169     47488633     48488343     
46      25912994     46994124     48384652     
48      24636304     47024132     47757851     
52      23588371     46435356     46358825     
56      22350020     45436873     45657344     
60      20617467     44576324     43569203     
64      19703844     43127054     43094712     
