### params -i16384 -r32768 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       5192372      6009324      6715125      
2       9984436      11041672     9490804      
4       13716355     17283912     19490455     
6       19252658     25162765     27192840     
8       23034575     33473791     36699404     
10      30376319     37316378     39424757     
12      34019376     46203190     49372514     
14      34459694     55346794     49966572     
16      37303502     54918405     56514873     
18      34331795     58163200     60758401     
20      30435510     61963722     65719544     
22      29826442     63900547     69493769     
24      29542247     69221947     73796211     
26      28580221     69665704     74857981     
28      27786484     74566379     78225173     
30      27248971     75952027     83008915     
32      26641827     74866302     81364692     
34      26260894     77657316     89032377     
36      25694535     81007885     92896251     
38      25313912     83341111     90257736     
40      24845548     83431468     89561424     
44      20633169     80496788     80079334     
48      14415784     74363734     76916878     
52      14102714     72517978     72503872     
56      11939833     73421602     72501889     
60      11724797     73262750     68668938     
