### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       223892       240988       170948       243954       248224       473317       448645       
2       142780       228966       230544       223163       216728       388014       275760       
4       425314       503702       322521       403616       493344       915370       970464       
6       794892       852752       310565       473212       814630       1693390      1505662      
8       1046653      1105748      287809       560856       1062512      1807702      1946509      
10      1256982      1348160      264764       583926       1358942      2347980      2466631      
12      1470091      1587292      252318       626158       1560583      2723956      3007720      
14      1675049      1776276      243276       612030       1785382      2993214      3069460      
16      1930591      2049053      229956       616226       2006644      3307718      3702670      
18      2045204      2256712      220228       610194       2057398      3553399      3840038      
20      2098805      2430660      216914       629284       2265070      3477826      4332814      
22      2387763      2597722      213090       635585       2467456      3880583      4454563      
24      2485934      2529854      208596       621571       2470148      4102242      4657943      
26      2487512      2592280      206618       608400       2685845      4135490      4620788      
28      2660386      2704992      202199       588786       2674346      4102712      4606604      
30      2860822      2725638      200252       567144       2717272      4305708      4732671      
32      2773064      2742981      199438       563508       2696356      4475492      4887047      
34      2917620      2885671      194092       548842       2721130      4375978      5022086      
36      3070094      2919140      191584       547274       2810156      4756142      5219964      
38      3051180      2992242      191130       538782       2871548      4623054      5104983      
40      3204729      2946961      186235       523022       2901878      4876234      5173770      
44      3179782      3002849      5602         513484       2898345      4785050      5173363      
48      3190038      2953865      5432         482504       2904614      4591023      4806904      
52      3185602      2782030      5410         486834       2794118      4609724      4464586      
56      3151348      2675615      3762         485252       2799596      4577674      4323248      
60      3093042      2506276      3890         502282       2710684      4322927      3893841      
