### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       7683251      9882265      11314002     
2       12322558     14521683     19349195     
4       15270143     20056259     22398310     
6       21572777     28562246     32262605     
8       26305800     35654114     39533054     
10      30957597     43169332     47537454     
12      36831333     50005140     55696699     
14      40822381     56644716     63575580     
16      45787494     63123750     70916752     
18      49520006     70246114     78384097     
20      53348502     77333270     82950218     
22      58587701     83582740     89889920     
24      61594452     88772331     97125998     
26      65431947     94597881     101561936    
28      67593118     99955844     105994134    
30      71831418     104416592    111087502    
32      73947640     110668837    115094979    
34      77037384     115350635    119359732    
36      79815702     118623160    122838491    
38      84111414     124130995    126829185    
40      84788784     125988005    130477334    
44      51907214     119176240    109466226    
48      38627848     114879552    105521631    
52      31662851     112039129    97872055     
56      26599308     108746153    94854345     
60      22925365     104492830    90565908     
