### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik2_2 lpdxeon2680lb-sl_optik_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3837284      4055826      4018320      4123889      4073040      
2       5938322      7356401      6587837      6231984      6177867      
4       11096814     11841979     11857905     11917116     11903833     
6       15935250     16792516     16737645     16882855     16918322     
8       20281743     21455380     21481128     21538673     21602882     
10      24243488     25499278     25357467     25450221     26004084     
12      27719337     29072739     29201657     29499790     29652551     
14      30955497     32346821     32380409     33134510     33205246     
16      34010228     35025566     35429547     35994423     36496254     
18      36570427     37073850     37740986     39052844     39322083     
20      39029271     38033108     39842871     41501065     41819699     
22      41067943     38266686     41315454     43441117     44335726     
24      43092768     37191487     42432351     45122790     46213468     
26      44499337     35244259     43102350     46762157     48252665     
28      46356273     32309978     43335118     48072499     49844221     
30      47644165     29515535     43133706     49617778     51753699     
32      48976933     26635099     42574441     51116069     53016599     
34      50508019     23813548     41478491     52053487     55259881     
36      51843659     21624186     40291147     53787579     56247692     
38      52699008     19621394     38850084     54594344     58533970     
40      50254115     18395113     37522306     53624073     56486053     
44      46369161     15055034     31080665     41742377     44430532     
48      46020173     12877364     26567072     35728028     38441094     
52      45422903     10598072     22004696     31415673     34972448     
56      44994750     9247104      19054871     27349010     31482403     
60      44373855     8086575      17082086     24443073     29660604     
