### ./bin/lpd48core/lf-ll_harris_opt / params -i4096 -r8192 -u10  / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lf-ll_harris_opt
#cores  throughput  %linear scalability 
1       85752       100.00  1           
2       164433      95.88   1.92        
4       290223      84.61   3.38        
6       406282      78.96   4.74        
8       521099      75.96   6.08        
10      632035      73.70   7.37        
12      741975      72.10   8.65        
14      825185      68.74   9.62        
16      927383      67.59   10.81       
18      1022777     66.26   11.93       
20      1074114     62.63   12.53       
22      1206570     63.96   14.07       
24      1269811     61.70   14.81       
26      1335914     59.92   15.58       
28      1439979     59.97   16.79       
30      1477108     57.42   17.23       
32      1504491     54.83   17.54       
34      1650259     56.60   19.24       
36      1668893     54.06   19.46       
38      1646709     50.53   19.20       
40      1831386     53.39   21.36       
42      1858998     51.62   21.68       
44      1801971     47.76   21.01       
46      2078086     52.68   24.23       
48      1906894     46.33   22.24       
52      1810078     40.59   21.11       
56      1760121     36.65   20.53       
60      1802589     35.03   21.02       
64      1715705     31.26   20.01       
