### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       5467157      6165121      6694320      
2       6926629      11022297     12199542     
4       12659813     16529834     17566322     
6       17552587     23093571     24689063     
8       21787469     30330494     31951402     
10      25097460     36499860     37779079     
12      28094095     41424890     44369837     
14      29693667     47224446     49709459     
16      30600497     52182157     54645258     
18      31092173     56207165     59056928     
20      30878779     60557003     64169108     
22      30032494     63763329     67668401     
24      29199011     66374128     70716533     
26      28514328     69310993     73929677     
28      27870919     71513994     77219115     
30      27269643     73828158     81080716     
32      26677800     76156730     82292744     
34      26192531     78010048     84945259     
36      25729292     80173839     87622565     
38      25373286     81878566     90559606     
40      24981533     83247292     93314293     
44      18743306     80474017     80164684     
48      15189517     79025936     76148381     
52      12500498     77966276     72915167     
56      11294471     78177169     70376464     
60      9988651      77631667     67231440     
