### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_java_optik_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       18469401     27821737     27855843     18300009     23245941     28675077     
2       34275281     23949395     31276254     33662836     37330622     48837773     
4       47754685     43495150     41991180     44246331     50762704     65461532     
6       69236474     60440176     60785026     62379274     69831255     91080813     
8       90078693     77472861     78868553     81231346     91526709     117156924    
10      110836454    91381982     93306357     97970696     110616976    138683174    
12      128776763    104862576    110301460    115496501    128635285    162594936    
14      144113097    116862818    121427119    133294639    147390357    178976887    
16      158170397    124948346    133716090    147002583    163695247    193543268    
18      173041671    128678365    144917382    159582709    177166477    210112696    
20      178937385    123381285    153646066    173953038    191072724    220859411    
22      181979135    109002523    161638171    184347170    201360210    231258161    
24      184262880    90589419     168521600    191624067    210374261    240304680    
26      164405516    74513460     172526497    200030460    218581684    246140514    
28      151665043    67670391     177962888    204650022    225141720    254892919    
30      130619555    58561959     182454689    212225408    232520113    264017359    
32      117140537    56261286     186358210    218010310    238065418    268837009    
34      110029393    51529846     191376079    223676174    245009343    277006899    
36      99990103     51097761     196058841    229219411    252140529    283633520    
38      97364371     49285590     200271748    237378363    258024965    290589815    
40      91413493     47718071     204788044    242302464    263988039    294195578    
44      67441879     32485110     117179301    186030361    210461633    201473769    
48      57943791     26619656     101959880    157771976    186466842    163637396    
52      52376282     22604078     86824715     146384366    163909454    142008839    
56      48334076     20339926     79410566     132710303    149513252    126042975    
60      44363575     18952902     70386633     114265701    141352698    116823640    
