### ./bin/lpd48core/lf-sl_fraser / params -i128 -r256 -u100  / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lf-sl_fraser    
#cores  throughput  %linear scalability 
1       5320629     100.00  1           
2       4001157     37.60   0.75        
4       5446958     25.59   1.02        
6       6485041     20.31   1.22        
8       6783924     15.94   1.28        
10      7009779     13.17   1.32        
12      6995584     10.96   1.31        
14      6931359     9.31    1.30        
16      6814529     8.00    1.28        
18      6708929     7.01    1.26        
20      6547678     6.15    1.23        
22      6410295     5.48    1.20        
24      6227294     4.88    1.17        
26      6155841     4.45    1.16        
28      6012532     4.04    1.13        
30      5859793     3.67    1.10        
32      5731029     3.37    1.08        
34      5606876     3.10    1.05        
36      5498113     2.87    1.03        
38      5364569     2.65    1.01        
40      5235325     2.46    0.98        
42      5115983     2.29    0.96        
44      4979257     2.13    0.94        
46      4863530     1.99    0.91        
48      4756101     1.86    0.89        
52      4741435     1.71    0.89        
56      4685022     1.57    0.88        
60      4702888     1.47    0.88        
64      4671790     1.37    0.88        
