### params -i65536 -r131072 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       3446918      3709068      3878317      
2       6527708      6402361      7929461      
4       10685928     12708728     13684334     
6       15775435     18022705     20413123     
8       21129640     25402181     25331298     
10      24854863     31674461     34656285     
12      30309254     35119920     40633797     
14      34518586     41574193     43726487     
16      39233887     45606595     49807782     
18      42717696     50837826     52621252     
20      45151782     57353693     59663567     
22      47859927     62881048     62131513     
24      51325884     61199143     69354169     
26      57628130     69814356     70169025     
28      58888456     73320504     76434179     
30      63489948     77126608     80852446     
32      66313408     82107478     83670287     
34      67262763     87462820     89997273     
36      75820727     88635457     90661413     
38      72297107     86517302     93980595     
40      76053603     93111051     98033888     
44      56349884     80721708     77209170     
48      47497562     76934661     79464839     
52      38526449     73329121     77118943     
56      36728199     70552636     73184504     
60      44244971     71209521     75832779     
