### params -i512 -r1024 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ht_lazy_gl_0 lpd48corelb-ht_java_0 lpd48corelb-ht_java_optik_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       29970639     36431248     36113701     27761073     32681281     36924393     
2       17780369     15133875     15358157     16595078     18454096     21632530     
4       24885334     19609946     19429202     23102386     25035099     32359553     
6       30965158     23946340     25376742     29482540     31544655     44491333     
8       36513698     28265153     28927684     34669817     37546773     50004667     
10      42275730     33174623     33114080     40799672     44367593     60820005     
12      47865190     36882103     36986428     46581783     50171340     67670702     
14      52948457     41320165     41476518     52250118     57005638     78238202     
16      57761105     45207748     45621929     56970143     61649953     85605963     
18      62510405     49503794     49074674     62597269     67524378     92952284     
20      65335485     53291286     52381439     67023760     72398105     99764900     
22      70746085     57209708     56240691     71317956     78937976     108109785    
24      74302073     61052969     59146696     76417768     83300681     113366346    
26      76013019     64755651     61426702     78868310     88220373     117914632    
28      80381391     67636618     64414823     79977419     91652517     122144714    
30      79192151     71667173     67717576     85569006     98082431     123263177    
32      71746543     75400505     69411458     90747124     96111983     122927676    
34      77302526     77852116     71635307     89064278     98312701     120896023    
36      70722752     79276852     74689580     85309219     95981089     118641371    
38      67744341     84609174     76031284     85932574     94044932     114786461    
40      68188003     86653595     75011149     77680695     95671322     111575539    
42      63721788     87298292     78728016     79995782     95957292     109709324    
44      69378005     91298755     77002338     74920031     90533150     109074630    
46      66028393     94463044     79462408     74667848     87909291     108309040    
48      64046693     87754518     78195593     77924485     92049285     109099783    
52      45358489     64047005     58165611     50360867     60293934     61776658     
56      37466526     54725728     50924053     40901959     50941700     45463146     
60      31375492     45603967     45643973     36945674     43542376     41342442     
64      27485857     36775636     41305082     32424588     36422516     29807187     
