### params -i512 -r1024 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_java_optik_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       38524602     47419457     47281695     36906475     42498664     49490303     
2       52012170     40632879     28151635     54489116     33029998     39056225     
4       60093296     52360644     55025838     55796302     66142786     77618362     
6       85746388     74405078     73247960     79644376     94780864     102284211    
8       111897187    93278909     96213820     104567608    123851665    124635420    
10      128644441    107360637    109388733    127312132    149939795    145002827    
12      145523988    127206030    128926429    146044288    172519195    161963352    
14      161316021    144101795    143721636    163493324    193905509    169608199    
16      174362329    154784134    157000032    178444683    218127091    167926402    
18      187060543    165783042    172560640    196076097    231105705    167140002    
20      198020219    181015849    182008334    212353122    251282295    167289023    
22      210501952    188950665    192750068    222938152    268145129    170267264    
24      216846055    198391511    200387749    236937480    281531457    173395132    
26      225087088    206040337    208257525    247982429    293222592    175372254    
28      232630454    212587778    214970598    256348203    302523818    179424164    
30      240659050    220843227    222184273    264485606    310817435    184458251    
32      245975735    225471642    229184652    274578562    320589094    188084878    
34      255016813    232353641    235038452    280824785    330083799    190506577    
36      260816789    238467715    241095944    291222485    339473930    196343075    
38      259089549    244214405    248732446    296148778    349102122    199172677    
40      269589667    249383625    253564772    302653024    353838800    201924941    
44      121302917    135089757    144647808    162988023    211438377    108616986    
48      98731282     105812417    117148835    121580859    155181555    81094291     
52      85722914     90123992     100019366    101511349    131655350    69945461     
56      80044845     79786779     89947685     93769903     125708571    63196650     
60      71676879     71615403     77939472     82712805     124230973    56523850     
