### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       3549642      3842045      4040588      
2       5603704      6736686      6757260      
4       10520039     12509386     13269369     
6       15370428     18365035     19435754     
8       20365881     24222199     25911433     
10      24826791     29986190     31664416     
12      29115213     35726707     37715028     
14      33922381     40557328     43317568     
16      38211887     45339930     49250706     
18      42363698     51160178     54324239     
20      45872545     56433293     59373103     
22      50588515     60650710     63077986     
24      53182563     65946962     68527286     
26      56029656     68229429     72301593     
28      57777975     72369196     76051056     
30      61228950     75608856     79364596     
32      63273174     79756033     82480982     
34      66457453     83959807     86783054     
36      68416291     87305689     92085470     
38      70684287     91466768     93734921     
40      73789386     94839792     98336110     
44      63076686     87987236     88462024     
48      57781052     85296180     85813887     
52      55219792     83514492     85079267     
56      51611289     81163159     82274910     
60      49860194     78261857     78532592     
