### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_optik_cache_0 lpdxeon2680lb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       427630       504058       394841       504280       483884       740669       740308       
2       343978       461902       330037       421284       409762       470830       657116       
4       927804       1054480      471714       743426       1001670      1557282      1601890      
6       1458686      1617955      563615       947180       1528440      2162052      2143144      
8       1584921      1784000      506574       775185       1701730      2650871      2695510      
10      1967006      2122920      462050       715823       1858662      2987980      3035188      
12      2182522      2287145      421624       701811       2353877      3435464      3538768      
14      2496592      2887226      393411       694452       2625373      3814133      3886758      
16      2790800      2755260      380192       715810       2803646      4188585      4337930      
18      2867200      3129148      358044       676362       3046740      4831322      4828002      
20      3293443      3414851      363712       686046       3514194      4751994      5138068      
22      3266170      3548551      342804       689573       3576448      5180464      5275737      
24      3585095      3770093      345266       683215       3816756      5107798      5815307      
26      3930678      4011302      334264       689060       3831362      5724002      5650168      
28      4103502      3873598      331451       704306       4046270      5695332      6031451      
30      4123969      4126838      333827       669032       4051268      6047714      5679156      
32      4031112      4085336      310417       659080       3992907      5963464      6528679      
34      4373362      4019676      311514       624820       3938122      6323537      6068526      
36      4330194      4138151      311917       573048       4290882      5976685      6048570      
38      4358950      4269064      311830       534318       3998969      6263532      6192122      
40      4545527      4271946      301869       443648       4272260      5925560      6175206      
44      4273060      3953006      7479         450499       4046514      6060472      6189920      
48      4437314      3975198      12754        474074       3969719      5685022      5843290      
52      4139448      3977430      11552        429507       3894187      5706735      5330092      
56      4194274      3534401      6862         438352       3961750      5689168      5287449      
60      4059522      3648104      6416         439650       3881278      5642817      4744280      
