### params -i8192 -r16384 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       17275        16710        10347        16508        17996        33066        29356        
2       30999        31759        17695        30282        32087        58810        57393        
4       54456        55312        23567        45442        56407        101175       99873        
6       73259        74818        23536        50654        76087        133393       134246       
8       92122        93055        22996        52245        93987        165313       164323       
10      108906       108865       22808        52200        111272       193441       196938       
12      124280       127227       22739        52484        126850       223654       227497       
14      140966       144490       22423        52766        143527       247544       254677       
16      155022       158059       22295        52976        156895       273168       284723       
18      169700       173549       22274        52535        171317       296908       309031       
20      184638       188661       22170        53477        185423       318086       334715       
22      197132       203708       21998        53786        199495       340884       355748       
24      208730       215062       22009        53992        215785       366721       378885       
26      224144       232401       21968        54206        223240       380006       406242       
28      235173       244520       21891        54444        234235       405303       426385       
30      248776       252999       21841        54984        249336       418140       452803       
32      261274       269473       21817        54746        263532       445553       473941       
34      275081       281458       21803        54903        275164       461384       493468       
36      284623       294634       21680        54576        284703       478318       511653       
38      298015       304581       21894        55281        299317       498869       540673       
40      307023       317554       21784        55209        309943       517616       558105       
44      306643       316924       2761         55142        308061       506878       548234       
48      303500       313288       1717         55266        305358       503419       547614       
52      301322       311095       1329         54915        300893       496646       542779       
56      301276       308741       1104         54790        300045       495762       534522       
60      299772       306223       934          55242        296487       492494       535165       
