### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-sl_fraser_0 lpd48corelb-sl_herlihy_0 lpd48corelb-sl_optik2_0 lpd48corelb-sl_optik_0 lpd48corelb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       5118487      5976569      5753217      5796579      6005309      
2       5979706      7059160      7023115      7179264      7146966      
4       9118439      10371686     10500419     10782682     10601391     
6       11677009     12872247     13045913     13344580     13133255     
8       13878108     14588183     14792088     15259374     15142846     
10      15479117     16180768     16331699     16759894     16714782     
12      16575228     17254999     17534621     18148971     18101436     
14      17361834     18207467     18453345     19244153     19069786     
16      18320214     18703816     19146485     19912186     20006170     
18      18827460     19402685     19888141     20419538     20732946     
20      19244115     19756664     20218639     20932327     21209435     
22      19832808     20181706     20606889     21239127     21571672     
24      19655702     20357057     20864393     21420180     22066144     
26      20159550     20425369     21062035     21796430     22355256     
28      20245802     20628422     21269819     21947145     22562724     
30      20271528     20733953     21291371     21881791     22554779     
32      20343694     20841805     21324002     21957161     22728645     
34      20436963     20812862     21219184     21989858     22861183     
36      20308638     20794444     21258209     21903292     22774485     
38      20554292     20511957     20999095     21798410     22875009     
40      20187564     20385953     20878640     21573002     22734022     
42      20078203     20254161     20868967     21600412     22617484     
44      19911514     20084074     20588615     21234123     22342683     
46      19664537     19838937     20436505     21087357     22025880     
48      19449399     19580734     20245425     20989757     22116581     
52      18470722     16390780     17177614     18386684     18898194     
56      17840539     14223937     14670163     16287603     16803595     
60      17159220     11814018     12401089     14125729     15263847     
64      17046397     10034757     11047639     13231154     14019402     
