### params -i16384 -r32768 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       4551214      4815202      5347531      
2       8517929      7836253      7340376      
4       13200658     15620392     17611348     
6       18150942     22813292     25054151     
8       23921795     29738082     32804800     
10      31621589     34679482     36329735     
12      35598536     40819554     49026098     
14      38993727     48618279     51066527     
16      44021937     53191902     57167028     
18      46006025     60179932     63972248     
20      51910837     65059876     70194080     
22      54854247     69845268     70715015     
24      59472760     72268779     75965499     
26      63031781     77053968     80893563     
28      65680689     81953301     87958748     
30      67333728     88938054     92698353     
32      73915641     93744716     96821988     
34      77226499     96072947     104611749    
36      77854166     101830022    103859189    
38      78226832     104186214    108083094    
40      83400582     105645142    111824660    
44      56013998     94579632     92017123     
48      45145819     88956352     89799589     
52      42823908     85294446     91822430     
56      37724699     85669614     88668884     
60      33985596     80329541     84436704     
