### params -i65536 -r131072 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       4405205      5160856      5383932      
2       6070701      7931688      7755653      
4       12604795     14966394     15917152     
6       17900949     22842620     24387196     
8       21413361     28798808     31104371     
10      29155085     34629976     36134697     
12      28458291     41141982     46870583     
14      31445970     47156424     53703070     
16      40419586     51905665     54502478     
18      40201090     55776605     59839284     
20      38233960     58332786     68016329     
22      36597112     65831667     69479978     
24      37484176     70488608     74498487     
26      36752021     74389991     76753140     
28      35774042     78901579     80566286     
30      34830047     73401007     85815526     
32      34324575     78589131     87940469     
34      33302093     84437570     88209076     
36      32786916     86283672     90925132     
38      31825909     86496475     91751249     
40      31029870     89056601     99121378     
44      23995305     80822893     84226526     
48      19988521     76588874     76878538     
52      16205073     76257937     70503286     
56      15147762     74775320     67694620     
60      12608324     72955110     72379121     
