### params -i4 -r8 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lb-map        ./bin/lpdxeon2680/lb-map_optik  
#cores  throughput  %linear scalability throughput  %linear scalability 
1       45485718    100.00  1           66245681    100.00  1           
2       8244963     9.06    0.18        54999082    41.51   0.83        
4       4360484     2.40    0.10        40844531    15.41   0.62        
6       4827145     1.77    0.11        34330256    8.64    0.52        
8       5139658     1.41    0.11        30346787    5.73    0.46        
10      5352974     1.18    0.12        27430956    4.14    0.41        
12      5518350     1.01    0.12        26462737    3.33    0.40        
14      5911271     0.93    0.13        25396288    2.74    0.38        
16      6109012     0.84    0.13        24336487    2.30    0.37        
18      6034306     0.74    0.13        24034088    2.02    0.36        
20      6205209     0.68    0.14        23375287    1.76    0.35        
22      6054090     0.60    0.13        23809404    1.63    0.36        
24      6704032     0.61    0.15        23782146    1.50    0.36        
26      6817653     0.58    0.15        23663027    1.37    0.36        
28      6951839     0.55    0.15        23920151    1.29    0.36        
30      6610258     0.48    0.15        24015258    1.21    0.36        
32      7251997     0.50    0.16        24314338    1.15    0.37        
34      7385894     0.48    0.16        24756716    1.10    0.37        
36      7433035     0.45    0.16        25293531    1.06    0.38        
38      7625837     0.44    0.17        25350252    1.01    0.38        
40      7640813     0.42    0.17        25341757    0.96    0.38        
44      41294       0.00    0.00        23372312    0.80    0.35        
48      44817       0.00    0.00        22182265    0.70    0.33        
52      43379       0.00    0.00        21060447    0.61    0.32        
56      44467       0.00    0.00        19217027    0.52    0.29        
60      24633       0.00    0.00        19052935    0.48    0.29        
