### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3653653      3687067      3818287      3884818      3751796      
2       5676695      7151066      5846927      5928955      7129390      
4       11078827     11285754     11252408     11569805     11494370     
6       15755234     16236104     16185200     15996182     16122783     
8       19721513     20769539     20517246     20387187     20474116     
10      24095001     24639520     24486386     24536591     24719201     
12      27367909     28812917     27802135     28277990     28013532     
14      30464467     31628798     31725454     31968408     31647330     
16      33951252     34761131     34643277     35024915     35470738     
18      37029735     38776250     37950109     38243409     38289707     
20      38868589     42030781     41781650     41825476     42138508     
22      42694534     45166501     44499136     43004948     44070715     
24      43659076     47748519     46252795     46385980     46297150     
26      46085492     48302414     48287200     47988932     48321845     
28      47295808     52548807     49273251     49923690     49369703     
30      48583681     51457180     50312374     51295300     50778380     
32      50864239     54879647     52196699     52163242     54619950     
34      50837458     54299291     54500796     54630004     55586363     
36      52498862     56443169     55104803     56176507     55486012     
38      53200977     59037798     56841868     57182174     57380249     
40      55058761     58997959     57765020     58304448     59140384     
44      52024064     43294961     47882162     50747524     51899315     
48      50211024     38708517     41546830     47177303     47168646     
52      48848252     33561358     36087188     43918275     43786147     
56      48008932     29700522     32793079     39129494     41603645     
60      46724354     26715374     27430952     36922744     38560252     
