### params -i128 -r256 -u100 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ./bin/lpdxeon2680/lb-ht_lazy_gl ./bin/lpdxeon2680/lb-ht_java    ./bin/lpdxeon2680/lb-ht_java_optik./bin/lpdxeon2680/lb-ht_optik0  ./bin/lpdxeon2680/lb-ht_optik1  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       32678617    100.00  1           34483453    100.00  1           34045984    100.00  1           32966327    100.00  1           36532876    100.00  1           
2       34439505    52.69   1.05        36641824    53.13   1.06        36035729    52.92   1.06        36773620    55.77   1.12        42048837    57.55   1.15        
4       49124508    37.58   1.50        63097882    45.75   1.83        61814256    45.39   1.82        61937975    46.97   1.88        69459228    47.53   1.90        
6       58630318    29.90   1.79        81193597    39.24   2.35        88005905    43.08   2.58        84945953    42.95   2.58        93357352    42.59   2.56        
8       64963442    24.85   1.99        103755616   37.61   3.01        58947478    21.64   1.73        57232486    21.70   1.74        60997696    20.87   1.67        
10      34866732    10.67   1.07        71917114    20.86   2.09        74989696    22.03   2.20        65589591    19.90   1.99        66814684    18.29   1.83        
12      35906197    9.16    1.10        82543446    19.95   2.39        96316064    23.57   2.83        75511900    19.09   2.29        67232888    15.34   1.84        
14      37140736    8.12    1.14        96484100    19.99   2.80        106429163   22.33   3.13        78011007    16.90   2.37        80051436    15.65   2.19        
16      38067953    7.28    1.16        103547780   18.77   3.00        104585972   19.20   3.07        81974252    15.54   2.49        78229940    13.38   2.14        
18      38130254    6.48    1.17        118312650   19.06   3.43        114858593   18.74   3.37        90809038    15.30   2.75        83488846    12.70   2.29        
20      38414508    5.88    1.18        122276268   17.73   3.55        126870878   18.63   3.73        90495140    13.73   2.75        91569360    12.53   2.51        
22      39283299    5.46    1.20        131120192   17.28   3.80        130155814   17.38   3.82        90054092    12.42   2.73        88908474    11.06   2.43        
24      40437492    5.16    1.24        136550124   16.50   3.96        138075962   16.90   4.06        94203252    11.91   2.86        93261940    10.64   2.55        
26      42366383    4.99    1.30        139734532   15.59   4.05        143454421   16.21   4.21        97694412    11.40   2.96        95761426    10.08   2.62        
28      44496074    4.86    1.36        145241950   15.04   4.21        147214688   15.44   4.32        100617741   10.90   3.05        97982134    9.58    2.68        
30      46324194    4.73    1.42        148419868   14.35   4.30        152722184   14.95   4.49        104620214   10.58   3.17        100837384   9.20    2.76        
32      47741553    4.57    1.46        154038113   13.96   4.47        156676161   14.38   4.60        107423100   10.18   3.26        104992992   8.98    2.87        
34      49267334    4.43    1.51        155406628   13.26   4.51        160639620   13.88   4.72        109788141   9.80    3.33        106335733   8.56    2.91        
36      50042132    4.25    1.53        161358954   13.00   4.68        166557430   13.59   4.89        112249724   9.46    3.40        110418353   8.40    3.02        
38      51657094    4.16    1.58        164043544   12.52   4.76        171590457   13.26   5.04        116317242   9.29    3.53        106929594   7.70    2.93        
40      50555863    3.87    1.55        156758979   11.36   4.55        171825472   12.62   5.05        116977434   8.87    3.55        113931348   7.80    3.12        
44      22105632    1.54    0.68        39763500    2.62    1.15        44970690    3.00    1.32        41720215    2.88    1.27        42120838    2.62    1.15        
48      17003449    1.08    0.52        38564328    2.33    1.12        39359396    2.41    1.16        35143538    2.22    1.07        32675568    1.86    0.89        
52      14625968    0.86    0.45        35398311    1.97    1.03        31836421    1.80    0.94        28818414    1.68    0.87        29001026    1.53    0.79        
56      13960956    0.76    0.43        34568423    1.79    1.00        35082798    1.84    1.03        28892857    1.57    0.88        31329948    1.53    0.86        
60      11963936    0.61    0.37        24207616    1.17    0.70        29544781    1.45    0.87        24610850    1.24    0.75        19023610    0.87    0.52        
