### params -i64 -r128 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_lazy_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_optik_cache_0 lpd48corelb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       8332361      10466641     7193609      10504816     9397639      11602371     12309284     
2       9289249      9823684      3184134      7557522      9508243      10705769     10113983     
4       11583021     12054136     3071519      6897970      11600053     12570531     11592706     
6       12060973     11099402     2564147      6462596      11951943     13298245     11963021     
8       12017450     10648584     2170721      5921547      11589728     13003225     11920599     
10      12061257     10637372     1902947      5574948      11360293     13155592     12122848     
12      11676912     10344912     1700508      4894685      11285618     13131803     12100655     
14      11611022     10232034     1553282      4299942      11323605     13113887     12222217     
16      11555030     10117121     1439423      3423841      11180267     13006565     12228573     
18      11321593     9943218      1338682      2889451      10984454     12979826     12208747     
20      11144812     9901191      1259702      2261839      10945063     12837090     12204524     
22      11033106     9716052      1193268      2009747      10804648     12703849     12192585     
24      10931554     9600120      1135414      1695401      10707034     12641442     12137270     
26      10763131     9523419      1069896      1469198      10618499     12569867     12116363     
28      10687640     9453288      1033649      1337775      10522397     12450764     12059415     
30      10502015     9349655      990934       1218685      10396715     12411006     12065834     
32      10444450     9256102      960094       1103431      10358625     12332799     12039247     
34      10332110     9179183      913956       1030104      10247263     12206018     12012688     
36      10272725     9086903      886903       990941       10148177     12163190     11915337     
38      10185475     9074027      860495       921788       10126364     11917955     11902797     
40      10095543     8942242      828616       892359       10040830     11956469     11833066     
42      9944747      8905603      802779       862474       9943899      11815937     11828296     
44      9854263      8787706      784222       816212       9910355      11732244     11778271     
46      9769873      8639556      761371       795491       9815248      11602418     11568473     
48      9676858      8635095      736739       769142       9770748      11586023     11541246     
52      9815188      7754205      8883         750934       8940153      10569114     10058657     
56      9652664      6704078      5892         756052       8257490      9584149      8118436      
60      9655794      5631623      6388         757782       7604168      9050647      6581174      
64      9875103      4444519      5850         749681       7187811      8590711      5086627      
