### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_2 lpd48corelf-bst-aravind_2 lpd48corelb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       5650399      8219751      9440084      
2       5855283      8738390      9221706      
4       8307434      12447322     13217246     
6       9297760      15173628     15427490     
8       9722750      17192401     16859532     
10      9710319      19048370     18714187     
12      9418948      20108705     19257932     
14      9069892      20459106     20020186     
16      8741974      20690044     20317630     
18      8365158      20740151     20550568     
20      7944551      20461201     20433711     
22      7655614      20348229     20335410     
24      7332531      20147806     20200223     
26      7104271      20129268     20146669     
28      6858920      19999784     20003918     
30      6631290      19833579     19929881     
32      6437454      19828138     19856596     
34      6250788      19615643     19902623     
36      6043117      19651732     19861216     
38      5420025      19603142     18920419     
40      4781184      19566802     18258971     
42      4299336      19609146     17694377     
44      3939071      19186920     17714701     
46      3555929      19502242     17390979     
48      3371099      19501891     17257652     
52      2909566      19510993     16802150     
56      2550470      19579482     16608454     
60      2321713      19442866     16521478     
64      2126126      19314810     15866184     
