### params -i512 -r1024 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ht_lazy_gl_2 lpd48corelb-ht_java_2 lpd48corelb-ht_java_optik_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_map_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       19182697     21638719     21454682     18741941     20005830     21885880     
2       15218231     13118982     13437666     14478422     14462372     18289974     
4       21707341     16291740     16296835     19363229     19056846     25889324     
6       26336472     19966736     20503593     24345359     24558688     34771435     
8       30154272     23957714     23711136     28559284     28294956     39919865     
10      33750585     26729633     27213602     32894709     32753300     47693591     
12      36395309     29166842     30051618     36039228     36353968     50649025     
14      38591326     31325493     33201937     39370524     39762041     57127012     
16      36021173     30097375     35455869     42103441     42646118     57673053     
18      25313620     22051739     37912074     44569518     45956314     59966465     
20      16842092     14897349     39855389     46733155     47352889     59180860     
22      13836102     12199340     41498349     47927965     48971652     61435232     
24      12152129     10637746     42012498     48790117     49604593     60157415     
26      11206172     9534583      43439138     50167795     50522458     61352091     
28      10003651     8669300      44086371     50165989     50871388     62999717     
30      9336833      7932317      43589642     50596179     51556884     62157369     
32      8967473      7411408      43603650     50487678     51658988     62599951     
34      9823576      6981761      43929701     50794744     52208975     62685806     
36      7913275      6175998      43929234     50530022     51966431     62932049     
38      7009808      5698074      43683713     50859306     52126686     62274022     
40      7001499      5349670      43615829     50611626     52057532     61377880     
42      6156651      5056019      43242629     50739485     52299200     60458224     
44      5967834      4969160      43399856     50752968     52281621     59671952     
46      5725581      4559039      43077969     50340747     52141675     58958310     
48      5701379      4371739      42777069     50200757     51975836     58473341     
52      5795217      4124428      38355446     41978164     45336444     44491625     
56      5397340      3821434      34114991     35833936     40753309     37211204     
60      4880855      3615793      32198209     33185001     36742260     31442922     
64      4724271      3555632      28927142     29580901     34056477     27210627     
