### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_java_optik_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       38536524     47416694     47366084     36903738     42522698     49506323     
2       56594698     59226538     26145585     29227382     31603784     40705585     
4       62868457     56733022     67891821     62997257     63574496     75421462     
6       95684880     74732238     77658586     85337552     99120282     99750889     
8       121038836    105782218    105519640    98518693     124931603    126204232    
10      119776688    103411706    105991016    139528716    146872992    167831136    
12      145839339    136045705    132836826    162749018    172270052    176320256    
14      172416706    145170780    144575542    159611242    194710684    189942450    
16      176099825    182486572    158262138    176184336    221046012    176912563    
18      191491198    166586758    165620368    199944171    231327117    224581042    
20      194336998    184176468    179848236    210493776    251983130    214809058    
22      210346608    190136738    193046427    226954274    267562405    189707010    
24      219602550    198317934    199944178    238169234    278492007    198342236    
26      229414725    206910776    209195097    247019701    295380335    202974595    
28      235911942    211018866    212917880    255124827    304235120    213376227    
30      244582547    218350832    222938585    263098923    311636235    214909596    
32      244307679    226216418    231556342    275492232    321772226    210632820    
34      255457324    231842516    235079366    284027852    328003602    195129145    
36      263797628    236482644    225482662    287307636    339462827    217676398    
38      258710253    242931996    248615780    297240307    348705968    214999422    
40      267740625    240972712    247541482    304291162    356524720    233303897    
44      112027186    123678912    121880874    166185238    224833146    139380578    
48      92306086     103867630    108878763    146709297    203290982    98944551     
52      79726433     87399540     98923514     125994716    165785491    83322150     
56      75514732     78877005     82213643     100991022    85285884     79049457     
60      72042886     66675108     77345378     92860750     129066648    70420284     
