### params -i128 -r256 -u100 / keep median of reps 5 of dur 5000
# Result from 5 repetitions: median
#       ./bin/lpd48core/lb-ht_lazy_gl   ./bin/lpd48core/lb-ht_java      ./bin/lpd48core/lb-ht_java_optik./bin/lpd48core/lb-ht_optik0    ./bin/lpd48core/lb-ht_optik1    
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       25544154    100.00  1           27338587    100.00  1           26174813    100.00  1           24809821    100.00  1           28076421    100.00  1           
2       9759016     19.10   0.38        8921242     16.32   0.33        9158559     17.49   0.35        9361190     18.87   0.38        9586303     17.07   0.34        
4       12874631    12.60   0.50        12058079    11.03   0.44        12076173    11.53   0.46        13262195    13.36   0.53        14250994    12.69   0.51        
6       16591938    10.83   0.65        15974419    9.74    0.58        16284818    10.37   0.62        17682484    11.88   0.71        19457072    11.55   0.69        
8       19593850    9.59    0.77        19663151    8.99    0.72        20144616    9.62    0.77        21792844    10.98   0.88        23418450    10.43   0.83        
10      22354035    8.75    0.88        23864289    8.73    0.87        24559488    9.38    0.94        26240195    10.58   1.06        28458877    10.14   1.01        
12      24188281    7.89    0.95        27227362    8.30    1.00        27697229    8.82    1.06        29804870    10.01   1.20        31934715    9.48    1.14        
14      26549784    7.42    1.04        30770350    8.04    1.13        31587603    8.62    1.21        33921346    9.77    1.37        36365055    9.25    1.30        
16      27104085    6.63    1.06        34277709    7.84    1.25        34499257    8.24    1.32        36958809    9.31    1.49        39756837    8.85    1.42        
18      28334172    6.16    1.11        38009849    7.72    1.39        38361896    8.14    1.47        40241200    9.01    1.62        42992164    8.51    1.53        
20      29110845    5.70    1.14        40902072    7.48    1.50        40207604    7.68    1.54        42892124    8.64    1.73        46562044    8.29    1.66        
22      29657585    5.28    1.16        44178618    7.35    1.62        43993973    7.64    1.68        46147530    8.45    1.86        50334508    8.15    1.79        
24      30318395    4.95    1.19        46820823    7.14    1.71        45995791    7.32    1.76        48548590    8.15    1.96        52928981    7.85    1.89        
26      30117653    4.53    1.18        50483293    7.10    1.85        48089717    7.07    1.84        51329268    7.96    2.07        55167919    7.56    1.96        
28      30715967    4.29    1.20        52596617    6.87    1.92        45389464    6.19    1.73        54995917    7.92    2.22        58956650    7.50    2.10        
30      29767493    3.88    1.17        55725842    6.79    2.04        52303803    6.66    2.00        56064410    7.53    2.26        60477240    7.18    2.15        
32      29000973    3.55    1.14        56586888    6.47    2.07        44535506    5.32    1.70        58067423    7.31    2.34        60256510    6.71    2.15        
34      28886469    3.33    1.13        58105171    6.25    2.13        53843957    6.05    2.06        60492791    7.17    2.44        65394500    6.85    2.33        
36      29051014    3.16    1.14        60075145    6.10    2.20        47559588    5.05    1.82        62156698    6.96    2.51        61917659    6.13    2.21        
38      27775305    2.86    1.09        58797885    5.66    2.15        61414906    6.17    2.35        63312162    6.72    2.55        69354583    6.50    2.47        
40      27353614    2.68    1.07        60791900    5.56    2.22        65378367    6.24    2.50        66223435    6.67    2.67        60359704    5.37    2.15        
42      26775429    2.50    1.05        61164407    5.33    2.24        61311322    5.58    2.34        66514631    6.38    2.68        72051549    6.11    2.57        
44      26760821    2.38    1.05        62225083    5.17    2.28        63885534    5.55    2.44        68341095    6.26    2.75        72545130    5.87    2.58        
46      25793500    2.20    1.01        63369468    5.04    2.32        63326006    5.26    2.42        69863608    6.12    2.82        56728775    4.39    2.02        
48      25679341    2.09    1.01        65004549    4.95    2.38        60933519    4.85    2.33        67479086    5.67    2.72        75886992    5.63    2.70        
52      11428716    0.86    0.45        31013229    2.18    1.13        31732522    2.33    1.21        31096209    2.41    1.25        32806507    2.25    1.17        
56      7840580     0.55    0.31        25292311    1.65    0.93        26316855    1.80    1.01        23268953    1.67    0.94        28341207    1.80    1.01        
60      6476691     0.42    0.25        19953593    1.22    0.73        20840583    1.33    0.80        18534864    1.25    0.75        22237426    1.32    0.79        
64      5026374     0.31    0.20        15650159    0.89    0.57        19756650    1.18    0.75        15205517    0.96    0.61        19753234    1.10    0.70        
