### ./bin/lpdxeon2680/lf-sl_fraser / params -i8192 -r16384 -u1  / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lf-sl_fraser  
#cores  throughput  %linear scalability 
1       4329771     100.00  1           
2       8330006     96.19   1.92        
4       16376201    94.56   3.78        
6       24028633    92.49   5.55        
8       31498712    90.94   7.27        
10      38880894    89.80   8.98        
12      46001440    88.54   10.62       
14      51617851    85.15   11.92       
16      57057473    82.36   13.18       
18      64522589    82.79   14.90       
20      70518947    81.43   16.29       
22      76547528    80.36   17.68       
24      81337016    78.27   18.79       
26      84595073    75.15   19.54       
28      88535836    73.03   20.45       
30      92125870    70.92   21.28       
32      95422956    68.87   22.04       
34      99017204    67.26   22.87       
36      102179957   65.55   23.60       
38      105342186   64.03   24.33       
40      108725950   62.78   25.11       
44      107716674   56.54   24.88       
48      105666830   50.84   24.40       
52      105514803   46.86   24.37       
56      105037419   43.32   24.26       
60      103684721   39.91   23.95       
