### params -i8192 -r16384 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_lazy_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_optik_cache_0 lpd48corelb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       35256        37316        24721        33074        34104        51271        55971        
2       69513        73487        41439        60833        67514        101194       109988       
4       137036       143917       52176        107449       132694       198591       214241       
6       203551       211736       44893        119215       195954       292353       313843       
8       228659       278982       41035        122445       258307       385905       414228       
10      332717       292995       38667        100543       271999       475962       509274       
12      396149       408379       37461        119946       380332       481241       603247       
14      451577       469692       36554        125305       436531       649361       694184       
16      516298       532932       35795        124287       482808       731794       780803       
18      574160       590564       35455        118763       544364       813156       680232       
20      565963       500607       34641        117060       510760       855976       939420       
22      659063       526963       34719        114761       632026       934038       920828       
24      690097       695558       34012        110565       545422       988789       1004765      
26      718074       748336       33396        111472       702611       1059263      858697       
28      743724       779502       32736        112866       726254       1054160      1101457      
30      733056       792108       32348        112063       712711       1091974      1138519      
32      760665       776355       31693        111053       728852       1127624      1163181      
34      768154       812161       31062        113013       614953       1101773      1112944      
36      607266       824667       30672        112639       767920       1130571      1175954      
38      788301       818312       30082        112057       767303       1137352      1236513      
40      790727       839050       29441        105708       780227       1145497      1208930      
42      792260       843120       29143        107595       788203       1152027      1237802      
44      768243       852960       28762        104907       809701       1172519      1250596      
46      784575       847662       28193        105522       800500       1184496      1219497      
48      702232       852688       27828        104232       812012       1192389      1262332      
52      751774       815586       3524         97453        767460       1039767      1188848      
56      712769       772131       2383         87386        727786       1072263      1129513      
60      644339       733439       1847         85859        707474       1026496      1094926      
64      672404       711698       1600         81257        670511       996018       992421       
