### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelf-sl_fraser_2 lpd48corelb-sl_herlihy_2 lpd48corelb-sl_optik2_2 lpd48corelb-sl_optik_2 lpd48corelb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       5114981      6091435      5738426      5994226      5862643      
2       5913432      6973455      6677774      7016416      6948069      
4       8358217      9741119      9439945      9927822      9793408      
6       10327400     11130755     11451558     11638430     11973900     
8       11143533     11546027     11455947     12217333     12714395     
10      11676764     11659508     11538455     12507790     13189381     
12      11885050     10868402     10820635     12187599     13170468     
14      11852231     10215820     9949672      11848975     13112835     
16      11728191     9346547      8882427      11274854     12849616     
18      11421671     8271932      7811331      10861922     12719148     
20      11252614     7375486      6902788      10434350     12498098     
22      11030533     6579057      6066146      10132187     12342574     
24      10804980     5868645      5430637      9742041      12162898     
26      10617340     5303754      5018693      9481419      12028354     
28      10417552     4804981      4560209      9179710      11912026     
30      10213248     4418985      4148997      8948314      11735977     
32      10023566     4036951      3905889      8736533      11653558     
34      9857384      3720541      3677151      8512970      11559153     
36      9682952      3417035      3506503      8286811      11324827     
38      9529278      3131588      3282372      8105168      11230353     
40      9327516      2883850      3019451      7905792      11101415     
42      9163647      2627809      2868906      7746261      10929323     
44      8981598      2482462      2725277      7566210      10751824     
46      8819705      2324637      2608876      7364740      10657789     
48      8747187      2199998      2499698      7213832      10470737     
52      8734555      1760403      2185239      5461592      8929566      
56      8745285      1445115      1955216      4684295      7682743      
60      8757866      1301408      1822076      3934297      6875995      
64      8784334      1095581      1608452      3415142      6169539      
