### params -i2048 -r4096 -u20 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       ./bin/iccluster029/lf-ll_harris_opt./bin/iccluster029/lb-ll_lazy   ./bin/iccluster029/lb-ll_gl     ./bin/iccluster029/lb-ll_optik_gl./bin/iccluster029/lb-ll_optik  ./bin/iccluster029/lb-ll_optik_cache
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       199093      100.00  1           208778      100.00  1           165961      100.00  1           207860      100.00  1           214308      100.00  1           326827      100.00  1           
6       712299      59.63   3.58        757020      60.43   3.63        589422      59.19   3.55        673122      53.97   3.24        783234      60.91   3.65        1196088     60.99   3.66        
12      1391282     58.23   6.99        1450903     57.91   6.95        493779      24.79   2.98        808030      32.39   3.89        1442456     56.09   6.73        2295042     58.52   7.02        
18      2054115     57.32   10.32       2125460     56.56   10.18       409515      13.71   2.47        787110      21.04   3.79        2111556     54.74   9.85        3204453     54.47   9.80        
24      2650031     55.46   13.31       2840469     56.69   13.61       389935      9.79    2.35        807833      16.19   3.89        2814467     54.72   13.13       4199563     53.54   12.85       
30      3362845     56.30   16.89       3613241     57.69   17.31       337094      6.77    2.03        793317      12.72   3.82        3406336     52.98   15.89       5112275     52.14   15.64       
36      4023893     56.14   20.21       4153140     55.26   19.89       356316      5.96    2.15        805182      10.76   3.87        3902874     50.59   18.21       5712969     48.56   17.48       
42      4695877     56.16   23.59       4619259     52.68   22.13       334720      4.80    2.02        761078      8.72    3.66        4827907     53.64   22.53       6599202     48.08   20.19       
48      5063237     52.98   25.43       5463201     54.52   26.17       280476      3.52    1.69        800952      8.03    3.85        4655909     45.26   21.73       7055105     44.97   21.59       
