### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik2_2 lpdxeon2680lb-sl_optik_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3864577      4037665      4026238      4137472      4044663      
2       7237144      6130466      7598263      6271348      6217300      
4       11065711     11845598     11835932     12310874     11948554     
6       16138686     16950088     17685998     17564107     17230245     
8       20899038     21869389     21448588     22160074     21751896     
10      24404604     25532978     26245056     26092527     26306308     
12      28688401     29877006     29200914     30068298     29939036     
14      31331108     32663075     32516130     33344283     33113442     
16      34465069     35728359     35708096     36851445     36704602     
18      36979608     37198526     37965298     39230247     39426824     
20      39275554     39009828     40194064     41455004     41848937     
22      41683556     38267695     41481646     43452738     45064464     
24      43391734     37276573     41812130     45002910     46244855     
26      45280146     35054192     43258188     47413351     47450727     
28      46664259     32138780     43470372     48863988     50849209     
30      46781720     28945356     43095228     50145512     52451158     
32      50029806     25946322     42449098     49882123     50583992     
34      50177102     24552649     41323964     51048468     52748284     
36      50277342     21700358     40112719     54173814     56234573     
38      53111956     19932380     38594780     53843251     54654498     
40      55405582     18470530     37133797     52858512     57851939     
44      46307914     15000406     30807874     42678516     44671940     
48      44647705     12519376     27204129     37427991     40934738     
52      44480388     11685001     22169235     34551729     35992338     
56      43585379     10596000     20577033     26749775     30364169     
60      43848238     8718851      17484166     29116928     26455599     
