### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_2 lpd48corelf-bst-aravind_2 lpd48corelb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       3323896      3562307      3708835      
2       4359943      5492006      5746521      
4       7174362      9327860      9778455      
6       9728209      12823522     13375723     
8       11620152     16000881     16586154     
10      13339787     18803233     19393890     
12      14664872     21446555     22046972     
14      15329108     24091116     24498392     
16      16056530     26539463     25976091     
18      16153737     28173706     28266875     
20      16342845     29939056     30094468     
22      15874740     31462946     32018067     
24      15456877     32621291     33494401     
26      15112399     33562553     34634602     
28      14676333     34464707     35363096     
30      14219685     34613476     35930889     
32      13594540     34942102     36216320     
34      13113795     35029581     35995778     
36      12713845     34905627     36199724     
38      11405818     35175260     34159503     
40      10290974     34602058     33554754     
42      9357768      34558426     32929624     
44      8547908      34676291     32697279     
46      7878299      34573655     32717727     
48      7262217      34509755     31728034     
52      6326738      34249451     31021398     
56      5689286      34006944     30634794     
60      5042451      33859383     29761321     
64      4584167      33669232     29184841     
