### params -i1024 -r2048 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       221087       240837       162154       239946       243009       466889       453044       
2       203514       229479       258129       222119       219759       399088       421503       
4       462846       504697       317182       399397       475560       942448       949884       
6       846978       828315       314712       516127       848122       1559640      1528223      
8       1065523      1101582      292759       560158       1151789      1949001      1947966      
10      1301929      1386848      272811       596522       1342874      2351393      2416045      
12      1557078      1623302      255931       619985       1537029      2723461      2888225      
14      1715441      1801597      240934       642715       1732561      3031573      3234926      
16      1864239      1989665      230699       641882       2019039      3395582      3517055      
18      2069147      2226021      222927       626984       2156483      3629767      3939436      
20      2251581      2361159      216768       618774       2365973      3857025      4181012      
22      2383415      2479378      211502       619862       2443953      4137298      4426649      
24      2500341      2599309      207121       598825       2516739      4039102      4711837      
26      2563999      2642131      203972       603054       2611347      4189651      4723086      
28      2614519      2723764      201666       589622       2651940      4300436      4701679      
30      2767363      2765823      198555       574836       2663673      4334972      4764982      
32      2799998      2800890      195155       556167       2755633      4390421      4876833      
34      2897550      2856725      193556       544197       2833219      4512825      4968702      
36      3010542      2890045      192271       533529       2853280      4553952      5051675      
38      3082409      2958816      190083       523737       2881521      4609728      5078434      
40      3192416      3036946      186021       500156       2968101      4727803      5278448      
44      3127569      2877357      3419         496303       2931058      4722260      4967391      
48      3139164      2880036      3135         488537       2862178      4637880      4911530      
52      3144441      2725527      3617         485092       2830861      4574712      4660102      
56      3103742      2627239      2121         479162       2783171      4524554      4262828      
60      3079905      2473983      2826         480008       2748302      4381134      3663970      
