### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       17686        17426        10796        18102        18611        34099        32906        
2       31920        33144        18949        31570        33590        59420        57894        
4       57856        58535        25316        47198        57956        104878       102360       
6       79264        80471        25404        55255        81120        142376       141189       
8       99178        100904       25035        56714        100504       175277       173834       
10      116928       119668       24914        58200        119696       202448       204434       
12      135974       135577       24926        59443        138576       236350       234467       
14      150632       158891       24436        61360        154426       255462       265744       
16      168490       170992       24634        60954        172735       289786       302576       
18      189708       190332       24693        61394        185335       324104       322850       
20      199004       209556       24460        61192        201802       342633       360170       
22      213658       217700       24283        62163        219068       356755       376885       
24      228690       232350       24522        61684        231050       380185       402758       
26      243873       246732       24388        62794        247786       408621       429264       
28      254320       260128       24113        64396        259552       432812       450148       
30      267986       279950       24095        63888        270708       455562       477532       
32      282774       293333       24219        64740        288258       469062       501397       
34      298475       307437       24450        65290        302476       485021       519751       
36      307028       317139       24214        65166        316358       498144       541922       
38      320361       327888       23854        64374        323929       540088       564075       
40      333036       341824       23734        67470        339716       556414       594364       
44      329572       348124       3312         66368        331414       545378       571076       
48      337034       345242       1815         65860        333108       538767       575190       
52      330522       343638       1526         65296        330011       529753       579562       
56      334002       336996       1308         66201        327914       532528       571440       
60      325150       336196       1124         66677        338338       541718       564180       
