### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik2_2 lpdxeon2680lb-sl_optik_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4696319      4928125      4896509      5046530      4996514      
2       8718114      9009625      8487839      9235394      8616849      
4       12477425     13074465     12709310     12920516     12810718     
6       16810283     17355450     16958275     16821323     17237210     
8       20492009     21185676     20871819     21198941     21143614     
10      23538966     24615639     23914672     24333054     24323236     
12      26637418     27857787     27203017     27153647     27662232     
14      28989917     30243975     29652685     29873915     30287377     
16      31708227     31954429     31802093     32231952     33126990     
18      33592088     32822262     33398328     34731171     35289713     
20      35561935     32062282     34559956     36339859     37451573     
22      37336369     30773937     35104675     37940341     39358477     
24      38741171     28140752     35255969     39263584     40801189     
26      39792052     25535356     34972098     40689786     42347651     
28      40907762     23013533     34382907     41770027     43863251     
30      42069966     20685454     33602162     42740760     45136820     
32      42086650     18718250     32413912     44045041     46635803     
34      44165884     17108007     31189022     44943127     48266394     
36      44796389     15752926     29816484     45846271     48853404     
38      45607306     14611944     28578896     46783912     50672929     
40      46420972     13625465     27280915     46595812     50923240     
44      45541626     11147550     22163060     36781665     39870468     
48      44833516     9239887      18776048     30132509     34299651     
52      44482257     7678924      15618908     24871797     29426555     
56      44451748     6700682      13392640     22388058     26822682     
60      43584404     5656631      12329154     20016949     23674475     
